"Downloaded on",03/05/2025,"13:27:00 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2299%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2936",https://www.congress.gov/bill/99th-congress/senate-bill/2936,"99th Congress (1985-1986)","A bill granting the consent of Congress to the Connecticut, Rhode Island, Massachusetts, and New York Rail Improvements Compact.","Pell, Claiborne [Sen.-D-RI] (Introduced 10/16/1986)",Democratic,10/16/1986,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",10/16/1986,"Chafee, John H. [Sen.-R-RI]","Weicker, Lowell P., Jr. [Sen.-R-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Connecticut,"Interstate compacts",Massachusetts,"New York State","Railroad passenger traffic",Railroads,"Rhode Island",States,"Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Interstate Compact - Grants the consent of the Congress to the Connecticut, Rhode Island, Massachusetts, and New York Rail Improvements Compact relating to rail improvements and rail passenger service. <p>Reserves the right to alter, amend, or repeal this Act.",,,,,,
"S. 2933",https://www.congress.gov/bill/99th-congress/senate-bill/2933,"99th Congress (1985-1986)","A bill to charter the National Academy of Social Insurance.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 10/16/1986)",Democratic,10/16/1986,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",10/16/1986,"Heinz, John [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Associations, institutions, etc.","Corporations and Stocks","Federal incorporation","Government Operations and Politics","Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Grants a Federal charter to the National Academy of Social Insurance.",,,,,,
"S. 2929",https://www.congress.gov/bill/99th-congress/senate-bill/2929,"99th Congress (1985-1986)","A bill to amend chapter 44 of title 18, United States Code, to prohibit the manufacture, transfer, or importation of .25 caliber and .32 caliber ammunition.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 10/16/1986)",Democratic,10/16/1986,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",10/16/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative fees",Ammunition,"Crime and Law Enforcement",Explosives,Firearms,"Firearms control","Foreign Trade and Investments","Import restrictions",Imports,Licenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Violent Crime Prevention Act - Amends the Federal criminal code to prohibit the manufacture, transfer, or importation of .25 or .32 caliber ammunition.  Permits the manufacture or importation of such ammunition for:  (1) the use of the United States or any State or local government; and (2) testing authorized by the Secretary of the Treasury. <p>Imposes a licensing fee of $1,000 per year for manufacturers and importers of .25 and .32 caliber ammunition.",,,,,,
"S. 2928",https://www.congress.gov/bill/99th-congress/senate-bill/2928,"99th Congress (1985-1986)","A bill to provide for more effective regulation of vehicles not originally manufactured to meet Federal safety standards.","Inouye, Daniel K. [Sen.-D-HI] (Introduced 10/16/1986)",Democratic,10/16/1986,,"Introduced in the Senate and read twice and held at the desk by unanimous consent.",10/16/1986,"Rudman, Warren [Sen.-R-NH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Automobile industry","Automobile safety standards","Consumer protection","Foreign Trade and Investments","Import restrictions",Imports,"Motor Vehicles and Driving","Motor vehicle safety","Motor vehicles","Product safety","Public safety","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Automotive Safety Improvements Act of 1986 - Amends the National Traffic and Motor Vehicle Safety Act of 1966 to repeal the general authority of the Secretaries of Transportation and of the Treasury to allow the importaion of motor vehicles that are not in compliance with Federal motor vehicle safety standards if such Secretaries anticipate that such vehicles will conform within a specified time. <p>Sets forth procedures under which a person importing a non-conforming motor vehicle must post bond and comply with conditions prescribed by the Secretary of Transportation to ensure that such vehicle will be brought into conformity with Federal motor vehicle safety standards.",,,,,,
"S. 2923",https://www.congress.gov/bill/99th-congress/senate-bill/2923,"99th Congress (1985-1986)","A bill to allow the Internal Revenue Code of 1986 to be applied and administered as if the 3-year basis recovery rule applicable to employees' annuities had not been repealed.","Inouye, Daniel K. [Sen.-D-HI] (Introduced 10/14/1986)",Democratic,10/14/1986,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/14/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Annuities,"Civil Service pensions","Civil service retirement","Congress and Members of Congress","Employee benefit plans","Federal employees","Federal employees and officials","Government Operations and Politics","Income tax","Labor and Employment",Legislation,"Local and Municipal Government","Local officials and employees","Retirement income","State officials and employees",States,"Tax administration","Tax reform","Tax-deferred compensation plans",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.5500,H.R.5599,H.R.5604,CRS,Senate,"09/11/1986 Referred to House Committee on Ways and Means.","09/25/1986 Referred to House Committee on Ways and Means.","09/26/1986 Referred to House Committee on Ways and Means.","<p>Provides that the Tax Reform Act of 1986 shall be applied and administered as if the three-year basis recovery rule applicable to employees' annuities had not been repealed.",,,,,,
"S. 2922",https://www.congress.gov/bill/99th-congress/senate-bill/2922,"99th Congress (1985-1986)","A bill to amend the Tax Reform Act of 1986 to remove the retroactive effect of the repeal of the 3-year recovery of basis rule in pension plans.","Matsunaga, Spark M. [Sen.-D-HI] (Introduced 10/10/1986)",Democratic,10/10/1986,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/10/1986,"Warner, John [Sen.-R-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Annuities,"Civil Service pensions","Civil service retirement","Congress and Members of Congress","Employee benefit plans","Federal employees","Federal employees and officials","Government Operations and Politics","Income tax","Labor and Employment",Legislation,"Local and Municipal Government","Local officials and employees","Retirement income","State officials and employees",States,"Tax administration","Tax reform","Tax-deferred compensation plans",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Tax Reform Act of 1986 to extend the effective date of the repeal of the three-year recovery of basis rule in pension plans.  Extends such effective date from July 1, 1986, to January 1, 1987.",,,,,,
"S. 2920",https://www.congress.gov/bill/99th-congress/senate-bill/2920,"99th Congress (1985-1986)","A bill to amend titles XVIII and XIX of the Social Security Act to provide that a nurse practitioner or clinical nurse specialist may, in collaboration with a physician, certify or recertify the need for certain services, to provide for coverage of certain items and services furnished by a nurse practitioner or clinical nurse specialist, and for other purposes.","Inouye, Daniel K. [Sen.-D-HI] (Introduced 10/10/1986)",Democratic,10/10/1986,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/10/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Extended care facilities",Health,"Health facilities","Intermediate care facilities",Medicaid,Medicare,"Nurse practitioners",Nursing,"Nursing homes","Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends titles XVIII (Medicare) and XIX (Medicaid) of the Social Security Act to provide that a nurse practitioner or clinical nurse specialist may, in collaboration with a physician, certify and recertify a patient's need for skilled nursing or intermediate care facility services.  Authorizes skilled nursing facilities to satisfy certain Medicare requirements by having such nurses, in collaboration with physicians, supervise patient care and be available for patient emergencies.  (Currently a physician must make need certifications, supervise patient care, and be available for patient emergencies.) <p>Provides Medicare coverage for 100 percent of the reasonable cost of items and services furnished by a nurse practitioner or clinical nurse specialist in a skilled nursing facility. Provides Medicaid coverage for services furnished by such nurses, in collaboration with a physician, in an intermediate care or skilled nursing facility.",,,,,,
"S. 2919",https://www.congress.gov/bill/99th-congress/senate-bill/2919,"99th Congress (1985-1986)","A bill to amend the Tax Reform Act of 1986 by repealing the treatment of certain amounts to or for the benefit of certain institutions of higher education.","Zorinsky, Edward [Sen.-D-NE] (Introduced 10/10/1986)",Democratic,10/10/1986,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/10/1986,"Exon, J. James [Sen.-D-NE]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Charitable contributions","College sports",Colleges,Education,"Higher education","Income tax","Public Welfare and Charities","Sports and Athletics","Tax deductions",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Tax Reform Act of 1986 to repeal provisions allowing a charitable contribution income tax deduction for amounts paid to or for the benefit of specified institutions of higher education in cases where the taxpayer receives the right to seating or the right to purchase seating for athletic events at those institutions.",,,,,,
"S. 2918",https://www.congress.gov/bill/99th-congress/senate-bill/2918,"99th Congress (1985-1986)","A bill to amend the Foreign Assistance Act of 1961 to modify provisions relating to the trade and development program.","Kerry, John F. [Sen.-D-MA] (Introduced 10/10/1986)",Democratic,10/10/1986,"Senate - Foreign Relations","Read twice and referred to the Committee on Foreign Relations.",10/10/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Advisory bodies","American economic assistance",Authorization,"Business and commerce",China,"Economics and Public Finance","Federal advisory bodies","Government and business","International Affairs","Small business",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Foreign Assistance Act of 1961 to require the administrator of the trade and development program to establish an advisory board which shall include representatives of the Small Business Service Bureau, Inc., the American Consulting Engineers, and the National Construction Association. <p>Increases the FY 1987 authorization for the trade and development program.  Earmarks a specified amount of the FY 1987 authorization for education and training programs for nationals from China.  Requires that half such earmarked funds be used for education and training programs administered by small and medium-sized companies in the United States.",,,,,,
"S. 2917",https://www.congress.gov/bill/99th-congress/senate-bill/2917,"99th Congress (1985-1986)","A bill to amend title 10, United States Code, to increase the combat support assignments open to women in the Armed Forces.","Proxmire, William [Sen.-D-WI] (Introduced 10/10/1986)",Democratic,10/10/1986,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",10/10/1986,"Cohen, William S. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Armed Forces and National Security","Military personnel","Women soldiers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.2906,,,CRS,,"10/03/1986 Read twice and referred to the Committee on Armed Services.",,,"<p>Amends Federal armed forces personnel provisions to increase the combat support assignments open to women in the armed forces.",,,,,,
"S. 2915",https://www.congress.gov/bill/99th-congress/senate-bill/2915,"99th Congress (1985-1986)","A bill to deny most-favored-nation treatment to imports from Yugoslavia.","Riegle, Donald W., Jr. [Sen.-D-MI] (Introduced 10/09/1986)",Democratic,10/09/1986,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/09/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Americans in foreign countries","Civil Rights and Liberties, Minority Issues","Foreign Trade and Investments","Foreign Trade and International Finance",Imports,"International Affairs","Most favored nation principle",Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5683,,,CRS,Senate,"10/09/1986 Referred to House Committee on Ways and Means.",,,"<p>Denies most-favored-nation treatment of imports from Yugoslavia unless, within ten days of enactment of this Act, the President reports to the Congress that Yugoslavia has released all U.S. citizens who have been detained without justification and that Yugoslavia has ceased to implement a program which results in such unjustified detainment of U.S. citizens. Requires such denial of most-favored-nation treatment, if it goes into effect, to remain in effect until such conditions are met.",,,,,,
"S. 2913",https://www.congress.gov/bill/99th-congress/senate-bill/2913,"99th Congress (1985-1986)","A bill to provide a uniform system for, and to eliminate restrictions on, the imposition, collection, and administration by States of State and local sales and use taxes on sales in interstate commerce.","Long, Russell B. [Sen.-D-LA] (Introduced 10/08/1986)",Democratic,10/08/1986,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/08/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Intergovernmental tax relations","Local and Municipal Government","Local taxation","Retail trade","Sales tax","State taxation",States,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Interstate Sales and Use Taxation Act of 1986 - Allows States to require certain out-of-state persons to collect and remit to the State any State or local taxes with respect to the interstate sale of:  (1) any tangible personal property which is to be delivered within the State; or (2) any services to be performed in the State.  Requires that such taxes must be:  (1) collected and administered throughout the State; (2) uniform as to rate and base throughout the State; and (3) published for any calendar year by September 30 of the preceding year. <p>Allows States to impose such requirement on any person who:  (1) engages in regular or systematic solicitation of a consumer market within such State; and (2) has either more than $100,000 annual gross sales or $25,000 annual taxable sales with respect to the State.  Sets forth administrative requirements for the collection and remittance of such sales. <p>Sets forth procedures for the expedited judicial review of the constitutionality of this Act.",,,,,,
"S. 2912",https://www.congress.gov/bill/99th-congress/senate-bill/2912,"99th Congress (1985-1986)","A bill to amend the Older Americans Act of 1965 to strengthen and improve the provisions relating to State long-term care ombudsman programs, and for other purposes.","Glenn, John H., Jr. [Sen.-D-OH] (Introduced 10/07/1986)",Democratic,10/07/1986,"Senate - Labor and Human Resources","Referred to Subcommittee on Aging (Labor and Human Resources).",10/15/1986,"Dodd, Christopher J. [Sen.-D-CT]","Heinz, John [Sen.-R-PA]","Melcher, John [Sen.-D-MT]","Bingaman, Jeff [Sen.-D-NM]","Burdick, Quentin N. [Sen.-D-ND]","Chiles, Lawton [Sen.-D-FL]","Hawkins, Paula [Sen.-R-FL]","Metzenbaum, Howard M. [Sen.-D-OH]","Specter, Arlen [Sen.-R-PA]","Cohen, William S. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"Conflict of interests","Executive reorganization","Extended care facilities","Fines (Penalties)",Health,"Health facilities",Hospitals,"Intermediate care facilities","Lawyers and legal services","Legal services",Medicaid,"Medical records",Medicare,"Nursing homes","Old age assistance",Ombudsman,"Patients' rights","Peer review organizations (Medicine)","Social Welfare","State laws",States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>State Long-Term Care Ombudsman Advocacy Improvement Act of 1986 - Amends the Older Americans Act of 1965 to require States to establish an Office of the State Long-Term Care Ombudsman (Office) encompassing any area or local ombudsman entity designated by the State Long-Term Care Ombudsman as a subdivision of the Office. Requires States to provide assurances that Office staff are not subject to conflicts of interest and that mechanisms are in place to identify and remedy such conflicts.  Immunizes Office representatives from liability under State law for the good faith performance of official duties.  Directs States to provide legal counsel to:  (1) the Office for advice and consultation; and (2) Office representatives sued in connection with the performance of official duties. <p>Requires States to provide appropriate sanctions against:  (1) those willfully interfering with Office representatives in the performance of official duties; and (2) extended care facilities which retaliate against residents or employees who file a complaint with, or provide information to, the Office. <p>Requires State licensure and certification agencies to provide the Office with inspection reports, notices of deficiencies, and sanctions issued with respect to extended care facilities as well as other data relevant to the Office's investigations of such facilities. <p>Directs the Office to submit annual reports to State licensure and certification agencies, State agencies on aging, and the State legislature and Governor analyzing and suggesting resolutions to problems experienced by, and complaints received against, extended care facilities. <p>Requires that office staff who do investigative work be trained in Federal, State, and local laws, regulations, and policies regarding State extended care facilities as well as investigative techniques. Directs the Secretary of Health and Human Services to provide technical assistance and training to State Long-Term Care Ombudsman programs and Ombudsman representatives. <p>Amends titles XVIII (Medicare) and XIX (Medicaid) of the Social Security Act to require that extended care facilities provide ombudsmen with access to facility residents and, with the patient's or guardian's consent, to the patient's medical and social records. Requires that ombudsmen be given access to individuals who are admitted to hospitals from skilled nursing or intermediate care facilities. <p>Directs the Secretary to promptly notify the appropriate Office of the State Long-Term Care Ombudsman of any Medicare or Medicaid sanction imposed on a skilled nursing or intermediate care facility. <p>Requires the Commissioner on Aging to issue a report by January 15th of each year analyzing and suggesting resolutions to problems experienced by, and complaints received against, extended care facilities. Specifies the congressional Committees, Federal agencies, and private organizations which are to receive such reports. <p>Amends the Older Americans Act of 1965 to require the Commissioner on Aging to designate a full-time staff of the Administration on Aging within 90 days of enactment of this Act.  Requires the Administration to conduct studies and issue findings regarding the practices and impact of the Ombudsman program. <p>Amends part B (Peer Review) of title XI of the Social Security Act to require peer review organizations to make available to Ombudsman program personnel their data showing the substantial failure of a provider to meet professionally recognized standards of health care.",,,,,,
"S. 2907",https://www.congress.gov/bill/99th-congress/senate-bill/2907,"99th Congress (1985-1986)","A bill to amend chapter 96 of title 18, United States Code.","Metzenbaum, Howard M. [Sen.-D-OH] (Introduced 10/03/1986)",Democratic,10/03/1986,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",10/03/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Courts and Civil Procedure","Crime prevention",Damages,"District courts",Jurisdiction,Law,"Lawyers and legal services","Legal fees","Limitation of actions","Organized crime","Civil actions and liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"<p>Amends the Federal criminal code to change the name of the Racketeer Influenced and Corrupt Organizations (RICO) statute to Pattern of Illicit Activity. <p>Revises the civil action requirements for persons aggrieved by RICO violations.  Reserves the award of treble damages to plaintiffs who prevail against defendants convicted of criminal violations of such statute.  Provides for treble damages where the prevailing plaintiff is a government.  Authorizes governments to bring RICO civil actions and, upon prevailing, to be awarded the cost of the suit and a reasonable attorney's fee in addition to treble damages. <p>Limits to actual damages the award to a prevailing plaintiff injured in his business or property by conduct which violates RICO, if the defendant has not been convicted of a criminal violation.  Permits the award of punitive damages in an amount double actual damages if: (1) the plaintiff is a natural person; (2) neither Federal nor State securities laws make available an express or implied remedy for the type of illicit activity in which the person bases his claims; (3) the injury occurred in the purchase or lease of a product, property, service, credit, or investment for personal or household use; and (4) the defendant's conduct was in wanton disregard of plaintiff's rights.  Specifies considerations the amount of punitive damages shall take into account. <p>Declares that a pattern of illicit activity requires at least two acts of illicit activity: (1) one of which occurred not more than five years after the prior act; (2) each of which is not so closely related in time and place to the other that together the acts constitute a single transaction; and (3), in the case of racketeering activity or collection of unlawful debt, each of which is related to the affairs of the enterprise. <p>Sets a statute of limitations for such an action of the later of: (1) three years from the accrual of the cause of action (that is, from the commission of the second predicate act), or from the termination of the conduct causing injury to the plaintiff; or (2) two years from any criminal conviction which may be required for the cause of action. <p>Limits the application of this Act to actions brought in the appropriate U.S. district court.",,,,,,
