"Downloaded on",03/04/2025,"18:24:24 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%2296%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 816",https://www.congress.gov/bill/96th-congress/senate-bill/816,"96th Congress (1979-1980)","A bill to amend the Social Security Act to provide that any alien receiving benefits under certain needs related provisions of such Act shall be considered to be a public charge, to provide for attribution of a sponsor's income and resources to an alien, and to provide a three year residency requirement for aliens who receive certain benefits.","Hayakawa, Samuel Ichiye [Sen.-R-CA] (Introduced 03/28/1979)",Republican,03/28/1979,"Senate - Finance","Referred to Senate Committee on Finance.",03/28/1979,"Armstrong, William L. [Sen.-R-CO]","Baucus, Max [Sen.-D-MT]","Cochran, Thad [Sen.-R-MS]","Simpson, Alan K. [Sen.-R-WY]","Young, Milton R. [Sen.-R-ND]","McClure, James A. [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Income,"Administrative procedure","Aid to dependent children",Immigration,Medicaid,"Public Welfare and Charities","Public assistance programs","Residence requirements","Social Welfare","Supplemental security income program",Aliens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends part A (General Provisions) of title XI of the Social Security Act to declare a ""public charge"" any alien, except a political refugee, who receives within three years of entry into the United States, benefits under titles I (Old Age and Medical Assistance for the Aged), X (Aid to the Blind), XIV (Aid to the Permanently and Totally Disabled), XVI (Supplemental Security Income), XIX (Medicaid), or IV, part A (Aid to families with Dependent Children) of the Social Security Act, or under any other State or Federal public assistance program based on need. <p>Requires aliens to have resided in the United States for three years before becoming eligible for benefits under titles I, X, XIV, XVI, XIX, or IV, part A of the Social Security Act.  Exempts from this requirement political refugees and individuals who became blind or disabled after the date of the admission of such individuals to the United States. <p>Provides that the income and resources of an individual who sponsors an alien for admission to the United States shall be imputed to such alien during the period of sponsorship, but not longer than three years, for purposes of determining eligibility for benefits under titles I, X, XIV, XVI, XIX, or IV, part A of the Social Security Act.  Exempts aliens who became blind or disabled after the date of their admission to the United States.",,,,,,
"S. 815",https://www.congress.gov/bill/96th-congress/senate-bill/815,"96th Congress (1979-1980)","A bill to exempt programs of the Federal National Mortgage Association from State usury laws, and for other purposes.","Javits, Jacob K. [Sen.-R-NY] (Introduced 03/28/1979)",Republican,03/28/1979,"Senate - Banking, Housing, and Urban Affairs","Referred to Senate Committee on Banking, Housing and Urban Affairs.",03/28/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Corporations and Stocks","Federal preemption","Finance and Financial Sector","Government corporations","Housing and Housing Finance","Housing and Community Development",Interest,"Mortgage interest rates","State laws",States,Mortgages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2382,,,,Senate,,"02/26/1979 Referred to House Committee on Banking, Finance and Urban Affairs.",,,,"<p>Home Finance Leveraging Act of 1979 - Exempts programs of the Federal National Mortgage Association authorized under the National Housing Act or the Emergency Home Finance Act of 1970 from State and local usury laws.",,,,,,
"S. 814",https://www.congress.gov/bill/96th-congress/senate-bill/814,"96th Congress (1979-1980)","A bill to reduce the compensation of Members of Congress to the rate paid on February 28, 1977, and for other purposes.","Heinz, John [Sen.-R-PA] (Introduced 03/28/1979)",Republican,03/28/1979,"Senate - Governmental Affairs","Referred to Senate Committee on Governmental Affairs.",03/28/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Congress,"Congress and Congressmen","Congressional salaries and pensions","Members of Congress",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Reduces the annual rate of pay for Members of Congress to the rate paid on February 28, 1977.",,,,,,
"S. 812",https://www.congress.gov/bill/96th-congress/senate-bill/812,"96th Congress (1979-1980)","A bill to designate certain areas as wilderness areas, and for other purposes.","Hatfield, Mark O. [Sen.-R-OR] (Introduced 03/28/1979)",Republican,03/28/1979,"Senate - Energy and Natural Resources","Referred to Senate Committee on Energy and Natural Resources.",03/28/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Management,Oregon,"Parks and Natural Areas","Public Lands and Real Property","Public Lands and Natural Resources","Wilderness areas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Designates the following areas in the State of Oregon as wilderness areas under the provisions of the Wilderness Act:  (1) Mount Washington; (2) Odell; (3) Sisters; (4) Gearhart Mountain; and (5) Strawberry Mountain. <p>Directs the Secretary of Agriculture to administer such areas. <p>Declares that all other lands located within the State of Oregon which have been studied as part of the Secretary of Agriculture's Roadless Area Review and Evaluation Program shall be available for resource utilization other than wilderness and such lands shall not be the subject of further studies for possible inclusion of the National Wilderness Preservation System.",,,,,,
"S. 810",https://www.congress.gov/bill/96th-congress/senate-bill/810,"96th Congress (1979-1980)","A bill to amend section 1102 of the Education Amendments of 1978.","Stevens, Ted [Sen.-R-AK] (Introduced 03/27/1979)",Republican,03/27/1979,"Senate - Labor and Human Resources","Referred to Senate Committee on Labor and Human Resources.",03/27/1979,"Melcher, John [Sen.-D-MT]","Hatch, Orrin G. [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Education,"Education of Indians","Elementary and secondary education","Federal aid to education","Native Americans","Public schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Education Amendments of 1978 with regard to the distribution formula for funds used to provide supplemental services to Indian public school students to revise such formula from one determined by a majority vote of eligible Indian tribes to one determined by the Secretary of the Interior (taking into consideration tribal testimony from hearings and comments received from publication of proposed formula options in the Federal Register).",,,,,,
"S. 809",https://www.congress.gov/bill/96th-congress/senate-bill/809,"96th Congress (1979-1980)","A bill to amend title 38, United States Code, to provide that a member of a Reserve component of the Armed Forces shall not be denied certain employment because of membership in such Reserve component.","Stevens, Ted [Sen.-R-AK] (Introduced 03/27/1979)",Republican,03/27/1979,"Senate - Veterans' Affairs","Referred to Senate Committee on Veterans' Affairs.",03/27/1979,"Garn, E. J. (Jake) [Sen.-R-UT]","Hatch, Orrin G. [Sen.-R-UT]","Bayh, Birch [Sen.-D-IN]","Dole, Robert J. [Sen.-R-KS]","Domenici, Pete V. [Sen.-R-NM]","Ford, Wendell H. [Sen.-D-KY]","Huddleston, Walter (Dee) [Sen.-D-KY]","Humphrey, Gordon J. [Sen.-R-NH]","Metzenbaum, Howard M. [Sen.-D-OH]","Morgan, Robert B. [Sen.-D-NC]","Moynihan, Daniel Patrick [Sen.-D-NY]","Thurmond, Strom [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"Armed forces reserves","Business and commerce","Employee rights","Labor and Employment","Small business","Veterans' employment","Armed Forces and National Security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2290,,,,Senate,,"02/21/1979 Referred to House Committee on Veterans' Affairs.",,,,"<p>Provides that members of the Armed Forces Reserves shall not be denied employment because of membership in a Reserve unit. <p>Excludes employers of less than ten employees from such prohibition.",,,,,,
"S. 801",https://www.congress.gov/bill/96th-congress/senate-bill/801,"96th Congress (1979-1980)","A bill to increase the tax on cigarettes.","Danforth, John C. [Sen.-R-MO] (Introduced 03/27/1979)",Republican,03/27/1979,"Senate - Finance","Referred to Senate Committee on Finance.",03/27/1979,"Chafee, John H. [Sen.-R-RI]","Domenici, Pete V. [Sen.-R-NM]","Moynihan, Daniel Patrick [Sen.-D-NY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Agriculture and Rural Affairs","Excise tax",Health,Smoking,Taxation,Tobacco,"Tobacco tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Internal Revenue Code to increase the excise tax on small and large cigarettes.",,,,,,
"S. 800",https://www.congress.gov/bill/96th-congress/senate-bill/800,"96th Congress (1979-1980)","A bill to amend the Rail Passenger Service Act in order to improve cost allocating procedures and the method of determining the amount of Federal assistance to be provided the National Railroad Passenger Corporation for operating costs.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 03/27/1979)",Republican,03/27/1979,"Senate - Commerce, Science, and Transportation","Referred to Senate Committee on Commerce, Science, and Transportation.",03/27/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Cost accounting","Federal aid to transportation","National Railroad Passenger Corporation (Amtrak)","Railroad passenger traffic",Railroads,Subsidies,"Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amtrak Cost Allocation Act of 1979 - Amends the Rail Service Passenger Act to direct the Secretary of Transportation to establish a uniform cost allocation for the National Railroad Passenger Corporation including: (1) the avoidable cost by route; (2) the revenue by route; (3) the fully allocated cost by route; (4) the number of passengers carried by route; (5) the avoidable profit or loss by route; (6) the fully allocated profit or loss by route; (7) the profit or loss per passenger by route; and (8) the profit or loss by revenue passenger mile. <p>Requires the Corporation to submit quarterly reports of such cost accounting to specified congressional committees. <p>Requires the Corporation to submit annual reports to specified congressional committees containing: (1) a profit and loss table by route for the upcoming fiscal year, assuming a 50 percent Government reimbursement of the fully allocated losses experienced by each such route; and (2) the average ticket subsidy required to show a systemwide social profit (above and beyond such Government reimbursement) for the upcoming fiscal year. <p>Requires the Corporation to include in such reports five year financial plans for such routes. <p>Directs the Secretary to pay a subsidy to the Corporation for each eligible ticket for passenger transportation sold by the Corporation during each fiscal year.  Stipulates that the amount of such subsidy shall be determined by the Secretary for each fiscal year. <p>Authorizes appropriations in specified amounts to the Secretary for the benefit of the Corporation for operating assistance for fiscal year 1980.",,,,,,
"S. 799",https://www.congress.gov/bill/96th-congress/senate-bill/799,"96th Congress (1979-1980)","A bill to increase the duty on imported copper by an amount which offsets the cost incurred by copper producers in the United States in meeting domestic environmental requirements.","Schmitt, Harrison H. [Sen.-R-NM] (Introduced 03/27/1979)",Republican,03/27/1979,"Senate - Finance","Referred to Senate Committee on Finance.",03/27/1979,"Laxalt, Paul D. [Sen.-R-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Copper,Costs,"Environmental Protection","Foreign Trade and Investments","Foreign Trade and International Finance",Imports,"Mineral industries","Mines and mineral resources",Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3267,,,,Senate,,"03/27/1979 Referred to House Committee on Ways and Means.",,,,"<p>Copper Environmental Equalization Act of 1979 - <b>Title I:  Amendments to the Tariff Schedules of the United States</b> - Amends the Tariff Schedules to add an additional duty to the duties already imposed on copper and copper bearing ores. <p><b>Title II:  Adjustments to Copper Equalization Duty</b> - Directs the President to adjust such additional duty based upon the environmental costs of production in the United States and in foreign countries as determined by the Administrator of the Environmental Protection Agency.  Requires the Secretary of the Treasury to prescribe a procedure by which interested parties may propose an adjustment in such duties. <p><b>Title III:  Amendment to the Trade Act of 1974</b> - Amends the Trade Act of 1974 to prohibit the President from designating the copper articles subject to the additional duty, as eligible for duty-free treatment. <p><b>Title IV:  Effective Date</b> - Stipulates that the additional duty will apply to goods imported into the United States after enactment of this Act.",,,,,,
"S. 788",https://www.congress.gov/bill/96th-congress/senate-bill/788,"96th Congress (1979-1980)","A bill to establish an Office of Hispanic Affairs in the Executive Office of the President, and in various Federal departments and agencies, and for other purposes.","Domenici, Pete V. [Sen.-R-NM] (Introduced 03/27/1979)",Republican,03/27/1979,"Senate - Governmental Affairs","Referred to Senate Committee on Governmental Affairs.",03/27/1979,"DeConcini, Dennis [Sen.-D-AZ]","Dole, Robert J. [Sen.-R-KS]","Tower, John G. [Sen.-R-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Advisory bodies","Executive Office of the President","Federal advisory bodies","Government records, documents, and information","Information services",Minorities,"Office of Personnel Management","Spanish Americans (U.S.)","Executive reorganization","Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Hispanic Affairs Act of 1979 - Establishes the Office of Hispanic Affairs (Office) in the Executive Office of the President to:  (1) advise the executive branch on appropriate actions to assure that Federal programs are providing needed assistance to Hispanic Americans; (2) advise Hispanic American groups on receiving Federal assistance; (3) establish an Hispanic information clearinghouse to disseminate information on the social and economic conditions of such individuals; and (4) evaluate Federal laws, policies, and practices concerning equal opportunities for such persons. <p>Permits the Director of the Office to appoint advisory task forces to advise the Director on Office functions.  Sets forth the powers and duties of the Director including coordinating the programs of the Offices of Hispanic Affairs established in Federal agencies. <p>Transfers to such Office all functions, personnel, and property of the Office of Personnel Management which relate to equal employment opportunity of Hispanic individuals, as determined by the Office of Management and Budget. <p>Requires the Director to report annually to Congress on the activities of the Office. <p>Establishes an Office of Hispanic Affairs in each of specified agencies to insure that the policies and practices of the Federal Government provide equal opportunities for Hispanics in all areas. Authorizes the President to instruct chairpersons of the ten Federal Regional Councils established by previous Executive Order to insure that the needs of Hispanics are taken into account in decisions related to Federal assistance to State and local governments. <p>Requires the Secretary of Commerce to insure that existing information clearinghouse functions within the Department of Commerce encompass the collection and dissemination of information concerning the social needs and conditions of Hispanics. <p>Prohibits the use of any funds authorized to carry out this Act to influence the outcome of any Federal election or voter registration activity.",,,,,,
"S. 771",https://www.congress.gov/bill/96th-congress/senate-bill/771,"96th Congress (1979-1980)","A bill to establish an energy stamp program which will provide assistance to certain low-income and fixed-income households to help meet residential energy costs incurred by such households.","Weicker, Lowell P., Jr. [Sen.-R-CT] (Introduced 03/27/1979)",Republican,03/27/1979,"Senate - Labor and Human Resources","Referred to Senate Committee on Labor and Human Resources.",03/27/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Energy,"Energy policy","Energy prices","Federal-local relations",Fuel,Households,"Public Welfare and Charities","Public assistance programs","Social Welfare","Public utilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Energy Stamp Act of 1979 - Authorizes the Community Services Administrator to establish an energy stamp program to assist eligible households in meeting heating costs. <p>Authorizes the Director of the Community Services Administration to establish eligibility criteria.  Requires the printing of energy stamps. Authorizes the Director to establish standards with respect to the allotment of energy stamps.  Sets forth procedures for redemption of such coupons, and administration and financing of the energy stamp program through local agencies. Establishes penalties for the unauthorized use, transfer, or alteration of such coupons. <p>Stipulates that the benefits received pursuant to this program shall not be considered as income for internal revenue purposes or for determination of eligibility for other federally-related benefits programs.",,,,,,
"S. 757",https://www.congress.gov/bill/96th-congress/senate-bill/757,"96th Congress (1979-1980)","A bill to clarify the authority of the Tennessee Valley Authority to establish and maintain administrative offices anywhere within its service area.","Baker, Howard H., Jr. [Sen.-R-TN] (Introduced 03/26/1979)",Republican,03/26/1979,"Senate - Environment and Public Works","Referred to Senate Committee on Environment and Public Works.",03/26/1979,"Sasser, Jim [Sen.-D-TN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Corporations and Stocks",Energy,"Government corporations","Government Operations and Politics",Offices,"Tennessee Valley Authority","Tennessee Valley development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Tennessee Valley Authority Act of 1933 to permit the Tennessee Valley Authority (TVA) to establish administrative offices in any area served by TVA.",,,,,,
"S. 749",https://www.congress.gov/bill/96th-congress/senate-bill/749,"96th Congress (1979-1980)","A bill to encourage the international exchange of information and to promote friendly foreign relations by repealing the amendments made by section 602 of the Tax Reform Act of 1976.","Goldwater, Barry [Sen.-R-AZ] (Introduced 03/26/1979)",Republican,03/26/1979,"Senate - Finance","Referred to Senate Committee on Finance.",03/26/1979,"DeConcini, Dennis [Sen.-D-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Business and commerce","Income tax","International Affairs","Tax deductions",Taxation,"Americans in foreign countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Repeals provisions of the Internal Revenue Code which restrict the deductibility of expenses incurred in attending business conventions in foreign countries.",,,,,,
"S. 748",https://www.congress.gov/bill/96th-congress/senate-bill/748,"96th Congress (1979-1980)","A bill to protect all Americans from the costs of catastrophic illness through improvements in the medicare program and the creation of private and public catastrophic health insurance programs.","Dole, Robert J. [Sen.-R-KS] (Introduced 03/26/1979)",Republican,03/26/1979,"Senate - Finance","Referred to Senate Committee on Finance.",03/26/1979,"Danforth, John C. [Sen.-R-MO]","Domenici, Pete V. [Sen.-R-NM]","Young, Milton R. [Sen.-R-ND]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Advisory bodies","Business and commerce","Department of Health, Education, and Welfare","Disability insurance","Drug safety and regulation",Drugs,"Drugs and narcotics","Executive reorganization","Extended care facilities","Federal advisory bodies",Health,"Health facilities","Health insurance","Home care services","Hospitalization insurance","Income tax",Insurance,Medicaid,"Medical centers",Medicare,"Mental health","Old age, survivors and disability insurance","Social Welfare","Tax credits","Tax deductions","Employee benefit plans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Catastrophic Health Insurance and Medicare Improvements Act of 1979 - <b>Title I:  Medicare Improvements</b> - Amends title XVIII (Medicare) of the Social Security Act to:  (1) remove the 150 day limitation on inpatient hospital services; and (2) remove the 100 visit limitation on home health services.  Eliminates prior hospitalization as a requirement for receiving home health services. <p>Extends to 30 days the period within which an individual must be admitted to a skilled nursing facility in order to receive Medicare coverage for post-hospital extended care, following a hospital stay of at least three consecutive days. <p>Reduces the requirement of confinement to the home to one of substantial confinement to the home in order for an individual to receive Medicare coverage for home health services. <p>Authorizes payments for home health services in cases where a physician certifies that occupational therapy is needed. <p>Directs the Secretary of Health, Education, and Welfare to develop standards for home health agencies with respect to health, safety, and the quality and appropriateness of services, including the training of home health aides. <p>Eliminates copayment requirements for:  (1) inpatient hospital services; and (2) post-hospital extended care services. <p>Increases to a maximum of $937.50 the amount of incurred expenses for outpatient mental treatment for which payment will be made under the Medicare program. <p>Authorizes reimbursement under the Medicare program for a reasonable number of visits per year to a community mental health center.  States that such number shall be determined by the Secretary. <p>Establishes ""catastrophic illness"" coverage under the Medicare program.  Defines a ""catastrophic illness"" as one in which an individual has either:  (1) had out-of-pocket expenses for coinsurance for services under part B (Supplementary Medical Insurance) of title XVIII which exceed $1,000 in a 15 month period; or (2) incurred expenses for covered services under part B which exceed, in the aggregate, $5,000 in a 15 month period. <p>Provides that eligible drugs:  (1) which require a physician's prescription (excluding insulin); (2) which are necessary to treat a common crippling or life-threatening chronic disease; and (3) which are dispensed from a ""participating pharmacy"" (except in an emergency), shall be included among the items covered under the Medicare program. Defines the term ""reasonable allowance"" when used in reference to an eligible drug. <p>Establishes, within the Department of Health, Education, and Welfare, a Medicare Formulary Committee to compile and publish a Formulary listing the drugs deemed qualified for benefits under this Act, together with maximum allowable costs and additional information concerning such drugs.  Makes provision for selecting drugs for the Formulary. <p><b>Title II:  Catastrophic Illness Insurance</b> - Amends the Social Security Act by adding a new title XXI: Catastrophic Illness Insurance.  Declares it to be the purpose of such title to make available insurance against high-cost catastrophic illness. <p>Requires every employer to make available to each full-time employee the option to participate in a catastrophic health insurance plan which provides coverage for the employee, the employee's spouse and unmarried dependents under the age of 26 which includes:  (1) a ""hospital benefit period"" which begins following the 60th day of the 15 month period (consisting of a calendar year and the last three months of the preceding year) in which such employee or such employee's family received inpatient hospital services under part B of title XVIII and which ends following the first period of 90 consecutive days in such calendar year during which inpatient hospital services were not received; and (2) a ""medical benefit period"" which begins when expenses incurred for services under part B of title XVIII aggregate more than $5,000 in a 15 month period and which ends following the first period of 90 consecutive days in such calendar year in which such expenses total less than $500. <p>Sets forth penalties for employers not in compliance with the catastrophic illness insurance plan.  Authorizes employees to commence civil actions against such employers. <p>Directs the Secretary to enter into agreements with private health insurance carriers under which such carriers shall make available catastrophic health insurance policies for eligible individuals which provide benefits on a level with those provided by employers in their catastrophic health insurance plans.  Directs the Secretary to pay a portion or all of the premium on such a policy for those individuals whose income is below a certain level as determined according to standards set forth in this Act. <p>Authorizes the States to purchase catastrophic health insurance plans for Medicaid (title XIX of the Social Security Act) recipients  who are not entitled to hospital insurance benefits under the Medicare hospital insurance program. <p>Establishes a Federal Actuarial Committee to prepare annually a table of values of catastrophic health insurance coverage to be used to evaluate the actuarial value of such insurance coverage and the costs of premiums for such coverage. <p>Requires States, under the Medicaid program, to provide catastrophic illness services to all eligible individuals. <p><b>Title III:  Amendments to the Internal Revenue Code</b> - Amends the Internal Revenue Code to authorize tax deductions for individuals and businesses for amounts paid for catastrophic health insurance.  Authorizes a tax credit for employers for certain catastrophic health insurance costs.",,,,,,
