"Downloaded on",03/04/2025,"18:32:14 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22103%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 2255",https://www.congress.gov/bill/103rd-congress/senate-bill/2255,"103rd Congress (1993-1994)","A bill to amend the Budget Enforcement Act of 1990 to establish a new budget point of order against any amendment, bill, or conference report that directs increased revenues from additional taxation of Social Security or Railroad Retirement benefits to a fund other than the Social Security trust fund or the Social Security Equivalent Benefit Account.","Gorton, Slade [Sen.-R-WA] (Introduced 06/30/1994)",Republican,06/30/1994,"Senate - Budget, Governmental Affairs","Read twice and referred jointly to the Committees on Budget; Governmental Affairs pursuant to the order of August 4, 1977, with instructions that if one Committee reports, the other Committee have thirty days to report or be discharged.",06/30/1994,"Nickles, Don [Sen.-R-OK]","Mack, Connie, III [Sen.-R-FL]","Stevens, Ted [Sen.-R-AK]","Lott, Trent [Sen.-R-MS]","Helms, Jesse [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Congress,"Economics and Public Finance","Federal budgets","Government trust funds","House rules and procedure","Income tax","Labor and Employment",Legislation,"Legislative resolutions","Old age, survivors and disability insurance","Railroad retirement plans","Senate rules and procedure","Social Welfare","Tax exclusion",Taxation,"Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Social Security Trust Fund Protection Act of 1994 - Amends the Budget Enforcement Act of 1990 to prohibit the House of Representatives or the Senate from considering any bill, joint resolution, amendment, motion, or conference report that would increase the aggregate tax liability:  (1) on Social Security benefits and does not deposit the revenue resulting from such increase in the trust funds under increase title II (Old Age, Survivors and Disability Insurance) of the Social Security Act; or (2) of certain Railroad Retirement benefits and does not deposit the revenue resulting from such increase in the Social Security Equivalent Benefit Account.",,,,,,
"S. 2253",https://www.congress.gov/bill/103rd-congress/senate-bill/2253,"103rd Congress (1993-1994)","Mountain Park Project Act of 1994","Nickles, Don [Sen.-R-OK] (Introduced 06/30/1994)",Republican,06/30/1994,"Senate - Energy and Natural Resources","Placed on Senate Legislative Calendar under General Orders. Calendar No. 635.",09/26/1994,"Boren, David L. [Sen.-D-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Construction costs","Economics and Public Finance","Environmental Protection","Federal aid to water resources development","Finance and Financial Sector","Habitat conservation","Interest rates",Oklahoma,"Public Lands and Natural Resources","Tax-exempt securities","Water allocation (Policy)","Water districts","Water Resources Development","Water supply","Wetland conservation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4784,,,House,,,"10/03/1994 Placed on the Union Calendar, Calendar No. 449.",,,"<p>Mountain Park Project Act of 1994 - Adds environmental quality activities to the list of activities of the Mountain Park Reclamation Project, Oklahoma. <p>Directs the Secretary of the Interior to:  (1) conduct investigations to determine environmental quality activities that could be carried out for the Project; and (2) make an appropriate reallocation of Project costs to accommodate such activities.  Requires the Secretary, in conducting such investigations, to examine the benefits to natural environmental resources achievable from an environmental quality activity that requires reallocating water or using facilities or land of the Project. <p>Requires the Secretary, upon completion of investigations, to:  (1) prepare a proposed reallocation of Project costs; and (2) negotiate with the Mountain Park Master Conservancy District to amend the contract to adjust the obligation of the District to repay Project costs to reflect the reallocation of nonreimbursable Project costs. Requires Project costs associated with an environmental quality activity to be nonreimbursable.  Authorizes the Secretary to accept prepayment of the repayment obligation of the District for reimbursable construction costs allocated to municipal and industrial water supply for the cities of Altus, Frederick, or Snyder, Oklahoma, or any combination thereof and reduces the District's obligation by the amount of such costs upon receipt of prepayment. <p>Directs the Secretary of the Treasury:  (1) to determine the interest rate in accordance with the guidelines set forth in Circular A-129 issued by the Office Management and Budget and the Department of Treasury Financial Manual; and (2) in determining such rate, to consider the price of the District's obligation if it were to be sold on the open market to a third party. <p>Provides that title to the Project facilities shall remain with the United States. <p>Repeals provisions of existing law regarding prepayment by the District for Project costs.",,,,,,
"S. 2252",https://www.congress.gov/bill/103rd-congress/senate-bill/2252,"103rd Congress (1993-1994)","A bill to amend section 17 of the Act of August 27, 1954 (25 U.S.C. 667p), relating to the distribution and taxation of assets and earnings, to clarify that distributions of rents and royalties derived from assets held in continued trust by the Government, and paid to the mixed-blood members of the Ute Indian tribe, their Ute Indian heirs, or Ute Indian legatees, are not subject to Federal or State taxation at the time of distribution, and for other purposes.","Hatch, Orrin G. [Sen.-R-UT] (Introduced 06/30/1994)",Republican,06/30/1994,"Senate - Finance","Read twice and referred to the Committee on Finance.",06/30/1994,"Inouye, Daniel K. [Sen.-D-HI]","McCain, John [Sen.-R-AZ]","Bennett, Robert F. [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Commerce,"Corporation taxes","Economics and Public Finance",Energy,"Energy policy","Federal-Indian relations","Finance and Financial Sector","Government Operations and Politics","Government trust funds","Income tax","Indian claims","Indian lands",Interest,Law,"Limitation of actions","Mining royalties",Minorities,"Oil and gas royalties","Public Lands and Natural Resources",Rent,"State taxation","Tax exemption","Tax refunds",Taxation,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Ute Indian Tax Status Act - Amends Federal law to exempt from Federal or State tax the distribution of rents and royalties from U.S. trust held real estate or related oil, gas, or mineral interests paid to mixed-blood members of the Ute Tribe, or their Ute heirs or legatees. <p>Exempts the Ute Distribution Corporation from Federal and State corporate income taxes.",,,,,,
"S. 2249",https://www.congress.gov/bill/103rd-congress/senate-bill/2249,"103rd Congress (1993-1994)","A bill to amend the Alaska Native Claims Settlement Act, and for other purposes.","Murkowski, Frank H. [Sen.-R-AK] (Introduced 06/29/1994)",Republican,06/29/1994,"Senate - Energy and Natural Resources","By Senator Johnston from Committee on Energy and Natural Resources filed written report. Report No. 103-424.",11/30/1994,"Stevens, Ted [Sen.-R-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Alaska,"Finance and Financial Sector","Indian claims","Indian lands",Law,"Liability (Law)",Minorities,"Native Americans","Stock repurchasing",Stockholders,Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4665,,,CRS,House,,"10/03/1994 Placed on the Union Calendar, Calendar No. 444.",,,"<p>Amends the Alaska Native Claims Settlement Act to authorize the Cook Inlet Regional Corporation (Cook Inlet Region, Incorporated) to purchase its shareholder-held common stock.",,,,,,
"S. 2248",https://www.congress.gov/bill/103rd-congress/senate-bill/2248,"103rd Congress (1993-1994)","A bill to permit the Secretary of Agriculture to exchange certain lands in the Wenatachee National Forest, Washington, for certain lands owned by Public Utility District No. 1 of Chelan County, Washington, and for other purposes.","Gorton, Slade [Sen.-R-WA] (Introduced 06/29/1994)",Republican,06/29/1994,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",06/29/1994,"Murray, Patty [Sen.-D-WA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Commerce,Energy,"Energy policy","Environmental Protection","Land transfers","National forests","Public Lands and Natural Resources","Public utilities","Sewage treatment plants","Washington State","Waste water treatment","Water Resources Development","Water treatment plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Authorizes the Secretary of Agriculture to exchange certain lands in the Wenatachee National Forest, Washington, for certain lands owned by Public Utility District No. 1 (District) of Chelan County, Washington. <p>Includes in such exchange a conveyance by the Secretary to the District of a specified wastewater treatment facility.",,,,,,
"S. 2247",https://www.congress.gov/bill/103rd-congress/senate-bill/2247,"103rd Congress (1993-1994)","A bill to amend the Fair Housing Act to modify the exemption from certain familial status discrimination prohibitions granted to housing for older persons, and for other purposes.","Gorton, Slade [Sen.-R-WA] (Introduced 06/29/1994)",Republican,06/29/1994,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking.",06/29/1994,"Roth Jr., William V. [Sen.-R-DE]","D'Amato, Alfonse [Sen.-R-NY]","Hatfield, Mark O. [Sen.-R-OR]","Lugar, Richard G. [Sen.-R-IN]","Brown, Hank [Sen.-R-CO]","Mack, Connie, III [Sen.-R-FL]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Associations, institutions, etc.","Church property","Civil Rights and Liberties, Minority Issues",Damages,Families,Households,"Housing and Community Development","Housing discrimination","Housing for the aged",Law,"Liability (Law)","Real estate agents",Religion,"Social Welfare","Civil actions and liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Housing for Older Persons Act of 1994 - Amends the Fair Housing Act to exempt communities in which at least 80 percent of the residents are age 55 or older from certain familial status discrimination prohibitions. <p>Exempts a person (or real estate agent) from civil monetary penalties for good faith reliance upon such exemption.",,,,,,
"S. 2243",https://www.congress.gov/bill/103rd-congress/senate-bill/2243,"103rd Congress (1993-1994)","A bill to amend the Fishermen's Protective Act of 1967 to permit reimbursement of fishermen for fees required by a foreign government to be paid in advance in order to navigate in the waters of that foreign country whenever the United States considers that fee to be inconsistent with international law, and for other purposes.","Stevens, Ted [Sen.-R-AK] (Introduced 06/24/1994)",Republican,06/24/1994,,"Held at the desk.",07/12/1994,"Packwood, Bob [Sen.-R-OR]","Gorton, Slade [Sen.-R-WA]","Murkowski, Frank H. [Sen.-R-AK]","Murray, Patty [Sen.-D-WA]","Hatfield, Mark O. [Sen.-R-OR]","Craig, Larry E. [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Administrative fees","Compensation (Law)","Economics and Public Finance",Fees,Fisheries,"Fishing boats","Foreign fishing","Government liability","Government liability (International law)","Government trust funds","International Affairs","International fishery management",Law,Licenses,"Marine and coastal resources, fisheries","Public Lands and Natural Resources","Seizure of vessels and cargoes","Transportation and Public Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Amends the Fisherman's Protective Act of 1967 to direct the Secretary of State, until a specified date, to reimburse vessel owners for fees paid to a foreign government to engage in transit passage between points in the United States if such a fee is regarded by the United States as being inconsistent with international law.  Authorizes use of unobligated balances of the Fishermen's Guaranty Fund and the Fishermen's Protective Fund and, if those are insufficient, authorizes appropriations. <p>Repeals the statutory formula used to fix the related fees collected by the Secretary of State. <p>Extends the Act's effective date from October 1, 1993, to October 1, 2000.",,,,,,
"S. 2240",https://www.congress.gov/bill/103rd-congress/senate-bill/2240,"103rd Congress (1993-1994)","A bill entitled the ""Rape Victims' Protection Act"".","Hatch, Orrin G. [Sen.-R-UT] (Introduced 06/24/1994)",Republican,06/24/1994,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",06/24/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Assault,"Civil Rights and Liberties, Minority Issues","Confidential communications",Counseling,"Court records","Crime and Law Enforcement","Evidence (Law)",Families,Law,"Rape victim services","Right of privacy","Sex crimes","Wife abuse",Witnesses,Women,"Women's shelters","Civil actions and liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Rape Victims' Protection Act - Prohibits any State or Federal court, in any criminal or civil action for rape or sexual assault, from ordering the disclosure of the records of any rape counseling or battered women's center or from compelling testimony from the agents or employees of such centers with respect to the substance of their counseling, unless the moving party demonstrates a compelling need for such records or testimony.",,,,,,
"S. 2236",https://www.congress.gov/bill/103rd-congress/senate-bill/2236,"103rd Congress (1993-1994)","A bill to direct the Secretary of the Interior to enter into negotiations concerning the Nueces River project, Texas, and for other purposes.","Hutchison, Kay Bailey [Sen.-R-TX] (Introduced 06/23/1994)",Republican,06/23/1994,"Senate - Energy and Natural Resources","Subcommittee on Forests and Public Lands. Hearings held. Hearings printed: S.Hrg. 103-943.",08/04/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Economics and Public Finance","Federal aid to water resources development","Government lending",Rivers,Texas,"Water Resources Development","Water supply",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,"<p>Directs the Secretary of the Interior to enter into and complete negotiations with the city of Corpus Christi, Texas, on a specified loan contract which concerns the Nueces River water project, Texas. <p>Requires the Secretary to discount the remaining Federal debt obligation under the contract based on the actual water yield to the city from the project. <p>Authorizes the Secretary, on payment of a specified amount, to transfer title for the project to local sponsors of the project.",,,,,,
"S. 2229",https://www.congress.gov/bill/103rd-congress/senate-bill/2229,"103rd Congress (1993-1994)","A bill to appropriate 2 percent of Federal individual income tax revenues to the States to fight crime.","Wallop, Malcolm [Sen.-R-WY] (Introduced 06/22/1994)",Republican,06/22/1994,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",06/22/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administration of criminal justice","Crime and Law Enforcement","Economics and Public Finance","Federal budgets","Federal-state relations","Government Operations and Politics","Government spending reductions","Government trust funds","Income tax","Intergovernmental fiscal relations","Judicial compensation",Law,Police,Prisons,Prosecution,"Public defenders","Public prosecutors",Salaries,"Tax rebates",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4592,,,CRS,,,"08/18/1994 Referred to the Subcommittee on Crime and Criminal Justice.",,,"<p>Tax Rebate to Fight Crime Act - Appropriates two percent of net Federal individual income tax revenues to the Trust Fund to Fight Crime established in each State.  Allows expenditures from such trust funds for:  (1) salaries and expenses of police officers; (2) building and operating prisons; and (3) salaries and expenses of judges of courts handling criminal cases, prosecutors, and public defenders.  Requires rebates from such trust funds to taxpayers if amounts are not spent as required. <p>Reduces discretionary spending limits set forth in the Congressional Budget Act of 1974 to reflect amounts appropriated by this Act.",,,,,,
"S. 2228",https://www.congress.gov/bill/103rd-congress/senate-bill/2228,"103rd Congress (1993-1994)","A bill to suspend temporarily the duty on certain textile-manufacturing machinery.","Lott, Trent [Sen.-R-MS] (Introduced 06/22/1994)",Republican,06/22/1994,"Senate - Finance","Read twice and referred to the Committee on Finance.",06/22/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Commerce,"Foreign Trade and International Finance",Machinery,Tariff,"Textile industry and fabrics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.4098,S.2011,,CRS,,,"06/28/1994 Executive Comment Received from ITC.","04/13/1994 Read twice and referred to the Committee on Finance.",,"<p>Amends the Harmonized Tariff Schedule of the United States to suspend, through September 30, 1995, the duty on used machinery for the manufacture of nonwoven textiles by hydroentanglement, valued at not more than $800,000.",,,,,,
"S. 2226",https://www.congress.gov/bill/103rd-congress/senate-bill/2226,"103rd Congress (1993-1994)","A bill to designate a site for the relocation of the public facility of the National Museum of Health and Medicine, and for other purposes.","Hatfield, Mark O. [Sen.-R-OR] (Introduced 06/21/1994)",Republican,06/21/1994,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",06/21/1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Arts, Culture, Religion","District of Columbia",Education,"Educational policy","Federal office buildings","Government Operations and Politics",Health,"Health education","Land transfers",Museums,Parks,"Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4315,,,House,,,"09/13/1994 See S.2182.",,,"<p>Requires the public facility of the National Museum of Health and Medicine to be located on the following adjacent areas of Federal land in the District of Columbia:  (1) the east plaza of the Hubert Humphrey Building, presently occupied by the Department of Health and Human Services; (2) the entire portion of 2nd Street, S.W., that is located between C and Washington Streets, S.W.; and (3) a triangular park, known as Square N-580, that lies immediately to the east of 2nd Street, S.W. <p>Authorizes the General Services Administration (GSA) to apply for the closing and transfer of jurisdiction over the latter two areas from the district GSA for the purpose of locating the Museum.",,,,,,
