"Downloaded on",03/05/2025,"14:06:13 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%5B%22118%22%5D%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%22Republican%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 695",https://www.congress.gov/bill/118th-congress/senate-bill/695,"118th Congress (2023-2024)","A bill to repeal the provisions of the Infrastructure Investment and Jobs Act that impose new information reporting requirements with respect to digital asset transfers.","Cruz, Ted [Sen.-R-TX] (Introduced 03/08/2023)",Republican,03/08/2023,"Senate - Finance","Read twice and referred to the Committee on Finance.",03/08/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>This bill repeals provisions of the Infrastructure Investment and Jobs Act with respect to the definition of<em> broker </em>and reporting requirements for digital assets.</p>",,,,,,
"S. 694",https://www.congress.gov/bill/118th-congress/senate-bill/694,"118th Congress (2023-2024)","Modern, Clean, and Safe Trucks Act of 2023","Young, Todd [Sen.-R-IN] (Introduced 03/08/2023)",Republican,03/08/2023,"Senate - Finance","Read twice and referred to the Committee on Finance.",03/08/2023,"Cardin, Benjamin L. [Sen.-D-MD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"03/08/2023 Referred to the House Committee on Ways and Means.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b> Modern, Clean, and Safe Trucks Act of 202</b><strong>3</strong></p> <p>This bill repeals the 12% excise tax on the retail sale of heavy trucks and trailers.</p>",,,,,,
"S. 693",https://www.congress.gov/bill/118th-congress/senate-bill/693,"118th Congress (2023-2024)","Eliminating Executive Branch Insider Trading Act","Hawley, Josh [Sen.-R-MO] (Introduced 03/07/2023)",Republican,03/07/2023,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",03/07/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>Eliminating Executive Branch Insider Trading Act</b></p> <p>This bill prohibits specified executive branch officials and others from holding or trading certain investments (e.g., individual stocks and related financial instruments other than diversified investment funds or U.S. Treasury securities).</p> <p>Covered individuals include the President, the Vice President, each executive branch officer or employee at or above a specified pay grade, each member of a uniformed service at or above a specified pay grade, each officer or employee in any other position determined by the Office of Government Ethics to be of equal classification to such positions, and the spouse of any such individual.</p> <p>The prohibition does not apply to assets held in a qualified blind trust. Any profit made in violation of the prohibition must be disgorged to the Treasury and may subject the individual to a civil fine.</p> <p>The Department of Justice may bring a civil action in U.S. district court against any covered individual who violates this bill's prohibition.</p>  <p>The Government Accountability Office, at specified intervals, must (1) audit compliance by a representative sample of covered individuals with this bill's requirements, and (2) report the results to the supervising ethics committees.</p>",,,,,,
"S. 692",https://www.congress.gov/bill/118th-congress/senate-bill/692,"118th Congress (2023-2024)","A bill to require the Social Security Administration to make changes to the social security terminology used in the rules, regulation, guidance, or other materials of the Administration.","Cassidy, Bill [Sen.-R-LA] (Introduced 03/07/2023)",Republican,03/07/2023,"Senate - Finance","Read twice and referred to the Committee on Finance.",03/07/2023,"Collins, Susan M. [Sen.-R-ME]","Coons, Christopher A. [Sen.-D-DE]","Kaine, Tim [Sen.-D-VA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Social Welfare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.4794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/25/2024 Read twice and referred to the Committee on Finance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>This bill changes certain terms that are used by the Social Security Administration (SSA) to describe the ages at which a worker may claim Social Security retirement benefits.</p> <p>First, the SSA must use <i>minimum benefit age</i> instead of <i>early eligibility age</i>. This refers to the earliest age (62 under current law) at which a worker may claim benefits. (Currently, the benefit amount of a worker who claims benefits early is reduced to account for the longer period during which the worker is expected to receive benefits.)</p> <p>Second, the SSA must use <i>standard benefit age </i>instead of <i>full retirement age</i> and <i>normal retirement age</i>. These terms refer to the age at which a worker may claim benefits without a reduction in the benefit amount. (Currently, this age ranges from 65 to 67, depending on the worker's year of birth.)</p> <p>Last, the SSA must use the term <i>maximum benefit age</i> for any reference to age 70 as the maximum age at which a worker may receive delayed retirement credits. The SSA may not use the term <i>delayed retirement credit. </i>These terms refer to the mechanism that increases the benefit amount of a worker who delays claiming benefits after reaching the full retirement age. (Currently, a worker receives a credit for each month between the full retirement age and age 70 that the worker delays claiming benefits. Each credit increases the benefit amount that the worker will receive after claiming benefits by a specified percentage.)</p>",,,,,,
"S. 691",https://www.congress.gov/bill/118th-congress/senate-bill/691,"118th Congress (2023-2024)","Taylor Force Martyr Payment Prevention Act of 2023","Cotton, Tom [Sen.-R-AR] (Introduced 03/07/2023)",Republican,03/07/2023,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking, Housing, and Urban Affairs. (Sponsor introductory remarks on measure: CR S671-672)",03/07/2023,"Capito, Shelley Moore [Sen.-R-WV]","Grassley, Chuck [Sen.-R-IA]","Graham, Lindsey [Sen.-R-SC]","Thune, John [Sen.-R-SD]","Wicker, Roger F. [Sen.-R-MS]","Hoeven, John [Sen.-R-ND]","Rubio, Marco [Sen.-R-FL]","Cruz, Ted [Sen.-R-TX]","Daines, Steve [Sen.-R-MT]","Lankford, James [Sen.-R-OK]","Young, Todd [Sen.-R-IN]","Hyde-Smith, Cindy [Sen.-R-MS]","Blackburn, Marsha [Sen.-R-TN]","Braun, Mike [Sen.-R-IN]","Cramer, Kevin [Sen.-R-ND]","Scott, Rick [Sen.-R-FL]","Hagerty, Bill [Sen.-R-TN]","Marshall, Roger [Sen.-R-KS]","Budd, Ted [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,"Finance and Financial Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"03/07/2023 Referred to the House Committee on Financial Services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><strong>Taylor Force Martyr Payment Prevention Act of 2023 </strong></p> <p>This bill expands the institutional factors the Department of the Treasury must consider when making a finding that a foreign financial institution is of primary money laundering concern and is therefore subject to special measures, including the prohibition of opening or maintaining correspondent accounts in U.S financial institutions. Specifically, Treasury must consider (1) the extent to which an institution knowingly provides financial services to Hamas, or to an agent of Hamas; and (2) the extent to which an institution, transaction, or type of account is used to facilitate or promote payments for certain acts of terrorism against U.S. and Israeli citizens.</p>",,,,,,
"S. 688",https://www.congress.gov/bill/118th-congress/senate-bill/688,"118th Congress (2023-2024)","DATA Act","Scott, Rick [Sen.-R-FL] (Introduced 03/07/2023)",Republican,03/07/2023,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",03/07/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><strong>Data and Algorithm Transparency Agreement Act or the DATA Act</strong></p> <p>This bill requires certain internet platforms (e.g., large websites and social networks) that use algorithms for suggesting content to obtain express consent from their users before collecting or sharing their personal data. These platforms must notify users of this requirement. The notice must include specified information, including the type of data collected and the names of any third parties with which the data is shared.</p> <p>The bill provides for enforcement by the Federal Trade Commission and a private right of action against a violator of the bill.</p>",,,,,,
"S. 687",https://www.congress.gov/bill/118th-congress/senate-bill/687,"118th Congress (2023-2024)","Safe Social Media Act","Scott, Rick [Sen.-R-FL] (Introduced 03/07/2023)",Republican,03/07/2023,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",03/07/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Science, Technology, Communications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"07/28/2023 Referred to the Subcommittee on Innovation, Data, and Commerce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>Safe Social Media Act</b></p> <p>This bill requires a study on the use of social media platforms among individuals under age 18. A <i>social media platform</i> is a public-facing website, internet application, or mobile internet application (e.g., social network, search engine, or email service) with at least 30 million active monthly users in the United States.</p> <p>The Federal Trade Commission must coordinate with the Centers for Disease Control and Prevention to carry out the study, and the study must address matters such as frequency of usage, mental health effects linked to such usage, and policy recommendations.</p>",,,,,,
"S. 685",https://www.congress.gov/bill/118th-congress/senate-bill/685,"118th Congress (2023-2024)","Stopping Border Surges Act","Lee, Mike [Sen.-R-UT] (Introduced 03/07/2023)",Republican,03/07/2023,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",03/07/2023,"Ricketts, Pete [Sen.-R-NE]","Grassley, Chuck [Sen.-R-IA]","Graham, Lindsey [Sen.-R-SC]","Moran, Jerry [Sen.-R-KS]","Cruz, Ted [Sen.-R-TX]","Cotton, Tom [Sen.-R-AR]","Daines, Steve [Sen.-R-MT]","Ernst, Joni [Sen.-R-IA]","Blackburn, Marsha [Sen.-R-TN]","Braun, Mike [Sen.-R-IN]","Tuberville, Tommy [Sen.-R-AL]","Britt, Katie Boyd [Sen.-R-AL]","Budd, Ted [Sen.-R-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.2580,H.R.3217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"04/13/2023 Referred to the House Committee on the Judiciary.","05/11/2023 Referred to the House Committee on the Judiciary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b> Stopping Border Surges Act </b></p> <p>This bill modifies immigration law provisions relating to unaccompanied alien minors and to asylum seekers.</p> <p>For certain unaccompanied inadmissible alien children, generally those not at risk of being trafficking victims nor having a fear of persecution, the Department of Homeland Security (DHS) shall repatriate the child. Currently, only inadmissible unaccompanied aliens from neighboring countries are subject to repatriation, and DHS has discretion whether to repatriate. </p> <p>When the Department of Health and Human Services releases an unaccompanied child to an individual, it must provide DHS with certain information about that individual. DHS must investigate the individual's immigration status and if the individual is not lawfully present in the United States, DHS must initiate removal proceedings against the individual.</p> <p>The bill requires a stricter standard to find a credible fear of persecution and imposes additional rules on credible fear interviews.</p> <p>If an alien is granted asylum because of fear of persecution in a country, the alien shall be deemed to have renounced asylum status by returning to that country, if there has been no change in the country's conditions. </p> <p>The bill also (1) expands the definition of what constitutes a frivolous asylum application, (2) imposes additional limitations on eligibility for asylum, (3) shortens the deadline for applying for asylum, and (4) extends the time period an alien seeking asylum must wait before receiving employment authorization.</p> <p>Any individual who knowingly and willfully makes materially false statements or uses fraudulent documents in asylum-related proceedings shall be fined or imprisoned up to 10 years, or both.</p>",,,,,,
"S. 684",https://www.congress.gov/bill/118th-congress/senate-bill/684,"118th Congress (2023-2024)","This Land Is Our Land Act","Hawley, Josh [Sen.-R-MO] (Introduced 03/07/2023)",Republican,03/07/2023,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",03/07/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Agriculture and Food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>This Land Is Our Land Act</b></p> <p>This bill prohibits certain entities related to China or the Chinese government from acquiring, leasing, or owning any interest in U.S. agricultural land. </p> <p>Specifically, this prohibition applies to certain foreign individuals and entities with connections to China, including (1) a business incorporated in China; (2) a person, company, university, or organization that can legally enter into contracts, own properties, or pay taxes on behalf of the Chinese government; and (3) an individual or organization affiliated with the Chinese Communist Party.</p> <p>An entity must divest itself from any ownership or leased interest in U.S. agricultural land within two years of the bill's enactment. Further, within one year of enactment, an entity must sign a letter of intent to divest its interests in the land.</p> <p>Under the bill, U.S. agricultural land includes land in a U.S. state or territory that is used for (1) food processing; or (2) farming, ranching, or timber production, including currently idle land that was used within the previous five years for one of these purposes.</p> <p>The bill establishes civil and criminal penalties for violations and provides for property forfeiture and sale by public auction.</p> <p>The Department of Agriculture must establish an office to monitor compliance and impose civil fines.</p> <p> Finally, the bill nullifies any noncompete agreement between a covered foreign entity with an ownership or leased interest in U.S. agricultural land and an employee of the entity.</p>",,,,,,
"S. 679",https://www.congress.gov/bill/118th-congress/senate-bill/679,"118th Congress (2023-2024)","GAO Database Modernization Act of 2023","Scott, Rick [Sen.-R-FL] (Introduced 03/07/2023)",Republican,03/07/2023,"Senate - Homeland Security and Governmental Affairs","Became Public Law No: 118-97.",10/01/2024,"Peters, Gary C. [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Government Operations and Politics","Government studies and investigations","Government information and archives","Congressional oversight","Administrative law and regulatory procedures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.8296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"05/22/2024 Ordered to be Reported (Amended) by Voice Vote.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>GAO Database Modernization Act of 2023</strong></p><p>This act&nbsp;bill requires federal agencies to report to the Government Accountability Office (GAO) certain information about agency rules that are made ineffective due to an agency action or other reason.</p><p>The report must include (1) the title of the rule; (2) the citation for the rule in the Federal Register; (3) the date on which the rule was submitted to the GAO; and (4) a description of the provisions of the rule that are being revoked, suspended, replaced, amended, or otherwise made ineffective.</p><p>The act is effective for six years after the date of enactment.</p>",,,,,,
"S. 678",https://www.congress.gov/bill/118th-congress/senate-bill/678,"118th Congress (2023-2024)",NOPEC,"Grassley, Chuck [Sen.-R-IA] (Introduced 03/07/2023)",Republican,03/07/2023,"Senate - Judiciary","Read twice and referred to the Committee on the Judiciary.",03/07/2023,"Durbin, Richard J. [Sen.-D-IL]","Klobuchar, Amy [Sen.-D-MN]","Lee, Mike [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Foreign Trade and International Finance","Jurisdiction and venue","Sovereignty, recognition, national governance and status","Competition and antitrust","Government liability","Energy storage, supplies, demand","Energy prices","Oil and gas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"05/05/2023 Referred to the House Committee on the Judiciary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>No Oil Producing and Exporting Cartels Act of 2023 or NOPEC </b></p> <p>This bill prohibits a foreign state from engaging in collective action impacting the market, supply, price, or distribution of oil, natural gas, or any other petroleum product in the U.S. Specifically, a foreign state is prohibited from</p> <ul> <li>collective action that limits the production or distribution of such product, </li> <li>collective action to set or maintain the price of such product, or </li> <li>any other action that restrains trade of such product. </li> </ul> <p>Specified defenses such as sovereign immunity (i.e., a foreign state's immunity from the jurisdiction of U.S. courts) and the act of state doctrine (i.e., the prohibition of a court invalidating an official act of a foreign sovereign performed within its own territory) shall not apply to a foreign state's violation of this bill.</p>",,,,,,
"S. 677",https://www.congress.gov/bill/118th-congress/senate-bill/677,"118th Congress (2023-2024)","VETT Act","Cassidy, Bill [Sen.-R-LA] (Introduced 03/07/2023)",Republican,03/07/2023,"Senate - Finance","Read twice and referred to the Committee on Finance.",03/07/2023,"Duckworth, Tammy [Sen.-D-IL]","Blackburn, Marsha [Sen.-R-TN]","Scott, Rick [Sen.-R-FL]","Casey, Robert P., Jr. [Sen.-D-PA]","Baldwin, Tammy [Sen.-D-WI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Taxation,"Veterans' organizations and recognition","Income tax deductions","Charitable contributions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"12/12/2024 Became Public Law No: 118-146.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p> <strong>VSO Equal Tax Treatment Act or the VETT Act </strong></p> <p>This bill expands the deductibility of charitable contributions to all federally-chartered tax-exempt organizations serving current and former members of the Armed Forces.</p>",,,,,,
"S. 676",https://www.congress.gov/bill/118th-congress/senate-bill/676,"118th Congress (2023-2024)","Checks and Balances Act","Sullivan, Dan [Sen.-R-AK] (Introduced 03/07/2023)",Republican,03/07/2023,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",03/07/2023,"Daines, Steve [Sen.-R-MT]","Lankford, James [Sen.-R-OK]","Hyde-Smith, Cindy [Sen.-R-MS]","Braun, Mike [Sen.-R-IN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>Checks and Balances Act</b></p> <p>This bill expands congressional oversight of guidance documents (e.g., statements of policy) issued by a task force or similar entity composed of members of a federal agency. </p> <p>Specifically, the bill makes such guidance (and guidance that directs the operations of a federal agency and is issued by an entity under the authority of the President) subject to the requirements of the Congressional Review Act. </p>",,,,,,
"S. 675",https://www.congress.gov/bill/118th-congress/senate-bill/675,"118th Congress (2023-2024)","REVIEW Act of 2023","Sullivan, Dan [Sen.-R-AK] (Introduced 03/07/2023)",Republican,03/07/2023,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",03/07/2023,"Lankford, James [Sen.-R-OK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"01/09/2023 Referred to the House Committee on the Judiciary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>Require Evaluation before Implementing Executive Wishlists Act of 2023 or the REVIEW Act of 202</b><strong>3</strong></p> <p>This bill prohibits a final agency rule from taking effect until (1) the agency submits the rule to the Office of Information and Regulatory Affairs (OIRA), and (2) OIRA makes a determination as to whether the rule is a high-impact rule that may impose an annual cost on the economy of at least $1 billion.</p> <p>In addition, an agency must postpone the effective date of a high-impact rule until the final disposition of all actions seeking judicial review of the rule.</p>",,,,,,
"S. 674",https://www.congress.gov/bill/118th-congress/senate-bill/674,"118th Congress (2023-2024)","RED Tape Act of 2023","Sullivan, Dan [Sen.-R-AK] (Introduced 03/07/2023)",Republican,03/07/2023,"Senate - Homeland Security and Governmental Affairs","Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",03/07/2023,"Daines, Steve [Sen.-R-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"03/09/2023 Referred to the Committee on Oversight and Accountability, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><strong>Regulations Endanger Democracy Act of 2023 or the RED Tape Act of 202</strong><b>3</b></p> <p>This bill prohibits, with certain exceptions, a federal agency from issuing a rule that causes a new financial or administrative burden on businesses or people in the United States unless the agency has repealed or amended two or more existing rules causing such a burden and the cost of the rule to be issued is less than or equal to that of the rules repealed or amended.</p> <p>In determining whether to repeal such a rule, an agency must consider (1) whether the rule has achieved its purpose, has become obsolete, or overlaps with a rule to be issued; (2) any adverse effects that could materialize if the rule is repealed; and (3) whether the costs of the rule outweigh its benefits.</p>",,,,,,
"S. 671",https://www.congress.gov/bill/118th-congress/senate-bill/671,"118th Congress (2023-2024)","Future Logging Careers Act","Risch, James E. [Sen.-R-ID] (Introduced 03/07/2023)",Republican,03/07/2023,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",03/07/2023,"Collins, Susan M. [Sen.-R-ME]","Crapo, Mike [Sen.-R-ID]","Cornyn, John [Sen.-R-TX]","King, Angus S., Jr. [Sen.-I-ME]","Scott, Tim [Sen.-R-SC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Labor and Employment","Child safety and welfare","Family relationships","Forests, forestry, trees","Labor standards","Worker safety and health","Youth employment and child labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"03/07/2023 Referred to the House Committee on Education and the Workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p><b>Future Logging Careers Act </b></p> <p>This bill allows individuals who are 16 or 17 years old to work at certain logging operations that are owned or operated by at least one parent or a person standing in place of a parent. Thus, the bill exempts such employees from child labor laws.</p>",,,,,,
