"Downloaded on",03/04/2025,"18:42:46 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%2C%22congress%22%3A%5B%22111%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 1795",https://www.congress.gov/bill/111th-congress/senate-bill/1795,"111th Congress (2009-2010)","A bill to amend title 49, United States Code, to permit certain revenues of private providers of public transportation by vanpool received from providing public transportation to be used for the purpose of acquiring rolling stock, and to permit certain expenditures of private vanpool contractors to be credited toward the local matching share of the costs of public transportation projects.","Murkowski, Lisa [Sen.-R-AK] (Introduced 10/15/2009)",Republican,10/15/2009,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce, Science, and Transportation.",10/15/2009,"Begich, Mark [Sen.-D-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Commuting,"Intergovernmental relations","Motor carriers","Transportation programs funding","State and local finance","Transportation and Public Works","Public transit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1571,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"03/18/2009 Referred to the Subcommittee on Highways and Transit.",,,,,,,,,,,,,,,,,,,,,,,," <p>Private Investment in Commuter Vanpooling Act of 2009 - Allows the local matching share provided by a public transportation capital project assistance recipient to include expenditures by a private commuter vanpooling service provider to acquire rolling stock (vans).</p> <p>Authorizes such a private provider to use vanpool revenues exceeding operating costs to acquire such vans, if there is a binding agreement requiring the vans to be used in the state or local government's service area.</p>",,,,,,
"S. 1794",https://www.congress.gov/bill/111th-congress/senate-bill/1794,"111th Congress (2009-2010)","A bill to authorize and request the President to award the Medal of Honor posthumously to Captain Emil Kapaun of the United States Army for acts of valor during the Korean War.","Brownback, Sam [Sen.-R-KS] (Introduced 10/15/2009)",Republican,10/15/2009,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",10/15/2009,"Roberts, Pat [Sen.-R-KS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Armed Forces and National Security",Asia,"Conflicts and wars","Veterans' organizations and recognition","Military personnel and dependents","North Korea","Congressional tributes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3735,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"10/28/2009 Referred to the Subcommittee on Military Personnel.",,,,,,,,,,,,,,,,,,,,,,,," <p>Authorizes and requests the President to award the Medal of Honor posthumously to Captain Emil Kapaun for acts of valor during the Korean War.</p>",,,,,,
"S. 1785",https://www.congress.gov/bill/111th-congress/senate-bill/1785,"111th Congress (2009-2010)","A bill to amend title 38, United States Code, to require State approving agencies to approve courses of education that have been accredited and approved by a nationally recognized accrediting agency or association, and for other purposes.","Ensign, John [Sen.-R-NV] (Introduced 10/14/2009)",Republican,10/14/2009,"Senate - Veterans' Affairs","Read twice and referred to the Committee on Veterans' Affairs.",10/14/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Teaching, teachers, curricula","State and local government operations","Armed Forces and National Security","Veterans' education, employment, rehabilitation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Requires (current law authorizes) a state approving agency to approve, for purposes of the veterans' educational assistance program, courses of education that have been accredited and approved by a nationally recognized accrediting agency or association.</p>",,,,,,
"S. 1784",https://www.congress.gov/bill/111th-congress/senate-bill/1784,"111th Congress (2009-2010)","A bill to amend title 38, United States Code, to ensure that State approving agencies provide timely responses to applications for approval of courses of education and provide justifications for disapproval of courses, to provide for the review of the disapproval of courses by State approving agencies, and for other purposes.","Ensign, John [Sen.-R-NV] (Introduced 10/14/2009)",Republican,10/14/2009,"Senate - Veterans' Affairs","Read twice and referred to the Committee on Veterans' Affairs.",10/14/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative remedies","Armed Forces and National Security","Department of Veterans Affairs","State and local government operations","Teaching, teachers, curricula","Veterans' education, employment, rehabilitation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Requires a state approving agency (agency) that receives an application from an educational institution for approval of a course of education for purposes of the veterans' educational assistance program to respond in writing to such institution within 90 days. Requires an agency that disapproves of a course of education to transmit to the institution a justification for such disapproval. Authorizes the Secretary of Veterans Affairs to review and, if appropriate, overturn a negative agency determination.</p>",,,,,,
"S. 1772",https://www.congress.gov/bill/111th-congress/senate-bill/1772,"111th Congress (2009-2010)","A bill to require that all legislative matters be available and fully scored by CBO 72 hours before consideration by any subcommittee or committee of the Senate or on the floor of the Senate.","Bunning, Jim [Sen.-R-KY] (Introduced 10/08/2009)",Republican,10/08/2009,,"Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 176.",10/13/2009,"McCain, John [Sen.-R-AZ]","Gregg, Judd [Sen.-R-NH]","Inhofe, James M. [Sen.-R-OK]","Kyl, Jon [Sen.-R-AZ]","Brownback, Sam [Sen.-R-KS]","Enzi, Michael B. [Sen.-R-WY]","Roberts, Pat [Sen.-R-KS]","Sessions, Jeff [Sen.-R-AL]","Crapo, Mike [Sen.-R-ID]","Voinovich, George V. [Sen.-R-OH]","Ensign, John [Sen.-R-NV]","Cornyn, John [Sen.-R-TX]","Murkowski, Lisa [Sen.-R-AK]","Alexander, Lamar [Sen.-R-TN]","Chambliss, Saxby [Sen.-R-GA]","Vitter, David [Sen.-R-LA]","Burr, Richard [Sen.-R-NC]","Coburn, Tom [Sen.-R-OK]","DeMint, Jim [Sen.-R-SC]","Thune, John [Sen.-R-SD]","Isakson, Johnny [Sen.-R-GA]","Corker, Bob [Sen.-R-TN]","Barrasso, John [Sen.-R-WY]","Wicker, Roger F. [Sen.-R-MS]","Johanns, Mike [Sen.-R-NE]","Risch, James E. [Sen.-R-ID]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,"Budget process","Legislative rules and procedure",Senate,"Government information and archives",Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.Res.307,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"10/07/2009 Referred to the Committee on Rules and Administration. (text of measure as introduced: CR S10222)",,,,,,,,,,,,,,,,,,,,,,,," <p>Amends Rule XXVI (Committee Procedure) of the Standing Rules of the Senate to make it out of order in a subcommittee or committee to proceed to any legislative matter unless the legislative matter and a final budget scoring for it by the Congressional Budget Office (CBO) have been publicly available on the Internet, on the official committee and CBO websites, in searchable form 72 hours before proceeding (excluding Saturdays, Sundays, and holidays except when the Senate is in session on such a day).</p> <p>Permits waiver or suspension of this rule, or successful appeals from rulings of the Chair, only by an affirmative vote of two-thirds of the Members of the subcommittee or committee.</p> <p>Makes it out of order in the Senate to proceed to a legislative matter if it was proceeded to in a subcommittee or committee in violation of this Rule. Permits waiver or suspension of this rule, or successful appeals from rulings of the Chair, only by an affirmative vote of two-thirds of the entire Senate.</p> <p>Amends Rule XVII (Reference to Committees; Motions to Discharge; Report; Hearings Available) to apply the same rule in the Senate before it proceeds to any legislative matter.</p> <p>States that nothing in this resolution or any amendment made by it shall be interpreted to require or permit the declassification or posting on the Internet of classified information in the Senate's custody. Requires such classified information to be made available to Members in a timely manner as appropriate under existing laws and rules.</p>",,,,,,
"S. 1770",https://www.congress.gov/bill/111th-congress/senate-bill/1770,"111th Congress (2009-2010)","A bill to recognize the heritage of recreational fishing, hunting, and shooting on Federal public lands and ensure continued opportunities for these activities.","Murkowski, Lisa [Sen.-R-AK] (Introduced 10/08/2009)",Republican,10/08/2009,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",10/08/2009,"Crapo, Mike [Sen.-R-ID]","Nelson, Ben [Sen.-D-NE]","Ensign, John [Sen.-R-NV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Forests, forestry, trees","Congressional oversight","Federally chartered organizations","Public Lands and Natural Resources","Outdoor recreation","Land use and conservation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3749,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"06/15/2010 Referred to the Subcommittee on Department Operations, Oversight, Nutrition and Forestry.",,,,,,,,,,,,,,,,,,,,,,,," <p>Recreational Fishing and Hunting Heritage and Opportunities Act - Requires federal public land management officials to exercise their authority under existing law, including regarding land use planning, to provide for the use of, and access to, federal public lands and waters for fishing, sport hunting, and recreational shooting, except as described in this Act.</p> <p>Requires the heads of federal public land management agencies to exercise their discretion in a manner that supports, promotes, and enhances recreational fishing, hunting, and shooting opportunities, to the extent authorized under applicable law. </p> <p>States that Bureau of Land Management (BLM) and Forest Service lands, excluding lands on the Outer Continental Shelf, shall be open to recreational fishing, hunting, and shooting unless the managing agency acts to close lands to such activity. Permits closures or restrictions on such lands for purposes including resource conservation, public safety, energy or mineral production, energy generation or transmission infrastructure, water supply facilities, national security, or compliance with other law. Requires publication of a public notice preceding any such closures or restrictions, unless mandated by other law. </p> <p>Requires annual reports on closures of federal public lands to recreational fishing, sport hunting, or shooting. Sets forth requirements for specified closures or significant restrictions involving 640 or more acres of federal public lands or waters to fishing or hunting. </p> <p>Establishes the Sport Fishing and Boating Partnership Council and the Sporting Conservation Council.</p>",,,,,,
"S. 1769",https://www.congress.gov/bill/111th-congress/senate-bill/1769,"111th Congress (2009-2010)","A bill to amend the Internal Revenue Code of 1986 to allow certain coins to be acquired by individual retirement accounts and other individually directed pension plan accounts, and for other purposes.","Vitter, David [Sen.-R-LA] (Introduced 10/08/2009)",Republican,10/08/2009,"Senate - Finance","Read twice and referred to the Committee on Finance.",10/08/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Financial services and investments","Income tax exclusion","Employee benefits and pensions",Currency,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Options for Investors through United States Certified Coins Act of 2009 - Amends the Internal Revenue Code to permit holders of individual retirement accounts (IRAs) or individually-directed pension plans to invest in coins that: (1) are certified by an independent, third-party grading service; (2) are, or were at any time, legal tender in the United States; and (3) are traded on a nationally recognized electronic coin trading network or listed by an independent coin wholesale reporting service. Permits trustees of IRAs or individually-directed pension plans that invest in coins or bullion to hold an indicia of ownership for such coins or bullion in lieu of physical possession under certain circumstances.</p>",,,,,,
"S. 1768",https://www.congress.gov/bill/111th-congress/senate-bill/1768,"111th Congress (2009-2010)","A bill to adjust the boundaries of Pisgah National Forest in McDowell County, North Carolina.","Burr, Richard [Sen.-R-NC] (Introduced 10/08/2009)",Republican,10/08/2009,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",10/08/2009,"Hagan, Kay R. [Sen.-D-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Public Lands and Natural Resources","Forests, forestry, trees","Land transfers","North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1002,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"09/16/2009 Received in the Senate and Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",,,,,,,,,,,,,,,,,,,,,,,," <p>Pisgah National Forest Boundary Adjustment Act of 2009 - Modifies the boundaries of the Pisgah National Forest in McDowell County, North Carolina, to provide for the inclusion of certain private land and Forest Service land in the Forest. Requires an owner's consent to acquire the private land. </p>",,,,,,
"S. 1767",https://www.congress.gov/bill/111th-congress/senate-bill/1767,"111th Congress (2009-2010)","A bill to authorize a land exchange to acquire land for the Blue Ridge Parkway from the Town of Blowing Rock, North Carolina, and for other purposes.","Burr, Richard [Sen.-R-NC] (Introduced 10/08/2009)",Republican,10/08/2009,"Senate - Energy and Natural Resources","Committee on Energy and Natural Resources Senate Subcommittee on National Parks. Hearings held. With printed Hearing: S.Hrg. 111-282.",11/04/2009,"Hagan, Kay R. [Sen.-D-NC]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Public Lands and Natural Resources","Water storage","Parks, recreation areas, trails","North Carolina","Land transfers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.1121,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"05/24/2010 Became Public Law No: 111-167.",,,,,,,,,,,,,,,,,,,,,,,," <p>Blue Ridge Parkway and Town of Blowing Rock Land Exchange Act of 2009 - Authorizes the Secretary of the Interior to exchange approximately 20 acres of land within the boundary of the Blue Ridge Parkway, identified as Blowing Rock Reservoir, for approximately 192 acres of land owned by the town of Blowing Rock, North Carolina. </p> <p>Permits the equalization of the values of the lands proposed for exchange to be achieved by an adjustment to their acreage if they are found to be not equal in value. </p> <p>Requires the lands acquired by the Secretary through the exchange to be administered as part of the Parkway. </p> <p>Grants the Secretary, if the town wants to dispose of the reservoir property, the right of first refusal to acquire that property for the Parkway. </p>",,,,,,
"S. 1762",https://www.congress.gov/bill/111th-congress/senate-bill/1762,"111th Congress (2009-2010)","A bill to amend the Public Health Service Act to expand and intensify programs of the National Institutes of Health and the Centers for Disease Control and Prevention with respect to translational research and related activities concerning Down syndrome, and for other purposes.","Brownback, Sam [Sen.-R-KS] (Introduced 10/07/2009)",Republican,10/07/2009,"Senate - Health, Education, Labor, and Pensions","Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",10/07/2009,"Brown, Sherrod [Sen.-D-OH]","Collins, Susan M. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Research administration and funding","Advisory bodies","Medical tests and diagnostic methods","Medical research","Medical education","Hereditary and development disorders","Health programs administration and funding","Health information and medical records",Health,"National Institutes of Health (NIH)","Department of Health and Human Services","Drug therapy",Genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.3656,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"09/29/2009 Referred to the Subcommittee on Health.",,,,,,,,,,,,,,,,,,,,,,,," <p>Trisomy 21 Translational Research Parity Act of 2009 or the 21 Act - Amends the Public Health Service Act to require the Director of the National Institutes of Health (NIH): (1) in coordination with the directors of specified national research institutes, to expand and intensify NIH programs with respect to translational research and related activities concerning Down syndrome; and (2) allocate specified funds among such institutes.</p> <p>Requires the Director to award grants and contracts for, and provide for the establishment of, at least six centers of excellence regarding such translational research to: (1) contribute to a comprehensive research portfolio for Down syndrome, provide an optimal venue and infrastructure for patient-oriented research, and conduct basic, clinical, and translational research on Down syndrome; (2) carry out a program to make individuals aware of opportunities to participate as subjects in research conducted by the centers; and (3) establish or expand training programs for medical and allied health clinicians and scientists in research relevant to Down syndrome.</p> <p>Requires the Director, in coordination of the National Down Syndrome Patient Registry and Biobank (Biobank), to provide for a program under which samples of tissues and genetic materials that are of use in research on Down syndrome are made available.</p> <p>Requires the Secretary of Health and Human Services (HHS) to: (1) establish the Down Syndrome Coordinating Committee to coordinate federal health programs relating to Down syndrome; (2) award grants and cooperative agreements for the collection, analysis, and reporting of data on, and for epidemiological activities regarding, Down syndrome; (3) establish the Biobank and an advisory committee; and (4) enter into cooperative agreements to develop, implement, and manage Down Syndrome Centers of Excellence.</p>",,,,,,
"S. 1758",https://www.congress.gov/bill/111th-congress/senate-bill/1758,"111th Congress (2009-2010)","A bill to provide for the allocation of costs to project power with respect to power development within the Diamond Fork System, and for other purposes.","Bennett, Robert F. [Sen.-R-UT] (Introduced 10/06/2009)",Republican,10/06/2009,"Senate - Energy and Natural Resources","Committee on Energy and Natural Resources Subcommittee on Water and Power. Hearings held. With printed Hearing: S.Hrg. 111-339.",11/05/2009,"Hatch, Orrin G. [Sen.-R-UT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Water use and supply",Utah,Energy,"Electric power generation and transmission","Public utilities and utility rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2008,,,,,,,,,,,,,,,,,,,,,,,,,,,CRS,,"08/05/2010 Placed on Senate Legislative Calendar under General Orders. Calendar No. 544.",,,,,,,,,,,,,,,,,,,,,,,," <p>Bonneville Unit Clean Hydropower Facilitation Act - Declares that, in order to facilitate hydropower development on the Diamond Fork System (Utah), a certain amount of reimbursable costs allocated to project power in the Power Appendix of the October 2004 Supplement to the 1988 Bonneville Unit Definite Plan Report shall be considered final costs, as well as specified costs in excess of the total maximum repayment obligation, subject to the same terms and conditions.</p> <p>States that: (1) this Act does not obligate the Western Area Power Administration to purchase or market any of the power produced by the Diamond Fork power plant; and (2) none of the costs associated with development of transmission facilities to transmit power from the Diamond Fork power plant shall be assigned to power for the purpose of Colorado River Storage Project ratemaking.</p> <p>Prohibits any hydroelectric power generation or transmission facility on the Diamond Fork System from being financed or refinanced with any obligation: (1) whose interest enjoys federal tax-exempt status; or (2) which enjoys certain federal tax credits. </p> <p>Directs the Secretary of the Interior to report to certain congressional committees if hydropower production on the Diamond Fork System has not commenced 24 months after enactment of this Act, stating the reasons such production has not commenced, and presenting a detailed timeline for future hydropower production.</p>",,,,,,
