"Downloaded on",03/05/2025,"13:27:53 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2297%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3098",https://www.congress.gov/bill/97th-congress/senate-bill/3098,"97th Congress (1981-1982)","A bill for the relief of James A. Ferguson.","Bentsen, Lloyd M. [Sen.-D-TX] (Introduced 12/14/1982)",Democratic,12/14/1982,"Senate - Judiciary","Referred to Subcommittee on Agency Administration.",12/20/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Claims,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Directs the Secretary of the Treasury to pay a certain sum to a named individual in complete or partial satisfaction of a claim against the United States.",,,,,,
"S. 3097",https://www.congress.gov/bill/97th-congress/senate-bill/3097,"97th Congress (1981-1982)","A bill to require the Secretary of Housing and Urban Development to administer a demonstration program for assisting communities and nonprofit organizations in providing emergency shelters.","Dodd, Christopher J. [Sen.-D-CT] (Introduced 12/14/1982)",Democratic,12/14/1982,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking.",12/14/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Federal aid to housing","Federal-local relations","Housing and Housing Finance","Housing and Community Development","Local and Municipal Government","Local finance","Public Welfare and Charities","Public assistance programs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7337,,,,,CRS,Senate,,"11/30/1982 Referred to Subcommittee on Housing and Community Development.",,,,"<p>Temporary Emergency Shelter Demonstration Program Act of 1982 - Directs the Secretary of Housing and Urban Development to conduct a demonstration program under which grants will be provided to assist communities or nonprofit organizations to provide shelter for people subject to life-threatening situations because of their lack of housing.  Requires the Secretary to make such grants on a competitive basis according to the need for emergency housing.  Directs the Secretary to report to Congress on such program and to use a specified amount of the funds appropriated for additional authority for annual contributions for lower income housing projects during FY 1983 to carry out this Act.",,,,,,
"S. 3094",https://www.congress.gov/bill/97th-congress/senate-bill/3094,"97th Congress (1981-1982)","A bill to provide for annual budget review of the Bonneville Power Administration by the Pacific Northwest Electric Power and Conservation Planning Council.","Baucus, Max [Sen.-D-MT] (Introduced 12/10/1982)",Democratic,12/10/1982,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",12/10/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Department of Energy","Economics and Public Finance","Electric power",Energy,"Federal budgets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Bonneville Power Administration Regional Accountability Act of 1982 - Requires the Administrator of the Bonneville Power Administration to annually submit the Administration's draft budget for each fiscal year to the Pacific Northwest Electric Power and Conservation Planning Council for review, beginning in calendar year 1983.  Directs the Administrator to inform the Council of any budget modifications proposed by the Administrator, the Secretary of Energy, or the Director of the Office of Management and Budget.  Requires the Administrator to submit a report to the Council and to Congress whenever the Administrator finds an alternative budget proposal by the Council unacceptable.  Provides that the Administrator shall cooperate with and assist the Council in order to facilitate the Council's review of the draft budget and modifications.  Requires the Administrator to conform the budget to the requirements of the Pacific Northwest Electric Power Planning and Conservation Act and to the regional electric power and conservation plan and the fish and wildlife program adopted pursuant to such Act. <p>Amends the Pacific Northwest Electric Power Planning and Conservation Act to require the Council to:  (1) review, and report to Congress on, the initial budget proposal plus any budget modifications for the Bonneville Power Administration; and (2) submit to Congress an alternative budget or alternative figures for parts of the budget.",,,,,,
"S. 3093",https://www.congress.gov/bill/97th-congress/senate-bill/3093,"97th Congress (1981-1982)","A bill to allow the adjudication for claims against the United States for damages arising from the activities of the Army Corps of Engineers at the Clarence Cannon Dam project on the Salt River in the State of Missouri.","Eagleton, Thomas F. [Sen.-D-MO] (Introduced 12/10/1982)",Democratic,12/10/1982,"Senate - Judiciary","Referred to Subcommittee on Agency Administration.",12/15/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Dams,"Government liability","Government Operations and Politics",Missouri,"Water and Water Resources Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7390,,,,,CRS,Senate,,"12/10/1982 Referred to Subcommittee on Administrative Law and Governmental Relations.",,,,"<p>Permits any person who suffered crop or building damage on or after January 1, 1981, due to the activities of the Army Corps of Engineers at the Clarence Cannon Dam project on the Salt River, Missouri, to file a claim against the United States in accordance with this Act.",,,,,,
"S. 3090",https://www.congress.gov/bill/97th-congress/senate-bill/3090,"97th Congress (1981-1982)","A bill to amend the Foreign Trade Zones Act to exempt bicycle component parts which are not re-exported from the exemption from the customs laws otherwise available to merchandise in foreign trade zones.","Huddleston, Walter (Dee) [Sen.-D-KY] (Introduced 12/09/1982)",Democratic,12/09/1982,"Senate - Finance","Committee on Finance requested executive comment from OMB; International Trade Commission; Office of U.S. Trade Representative; Treasury Department; State Department; Commerce Department.",12/13/1982,"Ford, Wendell H. [Sen.-D-KY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Bicycles,"Foreign Trade and Investments","Foreign Trade and International Finance","Free ports and zones",Imports,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7350,,,,,CRS,Senate,,"12/02/1982 Referred to House Committee on Ways and Means.",,,,"<p>Amends the Foreign Trade Zones Act to provide that bicycle component parts shall not be exempt under the customs exemption provided by such Act unless the parts are re-exported from the United States.",,,,,,
"S. 3089",https://www.congress.gov/bill/97th-congress/senate-bill/3089,"97th Congress (1981-1982)","A bill entitled the ""ConRail ESOP Vesting Act of 1982.""","Long, Russell B. [Sen.-D-LA] (Introduced 12/09/1982)",Democratic,12/09/1982,"Senate - Commerce, Science, and Transportation","Read twice and referred to the Committee on Commerce.",12/09/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Consolidated Rail Corporation (Conrail)","Corporations and Stocks","Employee ownership",Investments,"Labor and Employment","Railroad employees",Railroads,"Securities and Investments",Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Regional Rail Reorganization Act of 1973 to remove the conditions preventing immediate vesting of participant rights in the employee stock ownership plan of the Consolidated Rail Corporation (Conrail).",,,,,,
"S. 3087",https://www.congress.gov/bill/97th-congress/senate-bill/3087,"97th Congress (1981-1982)","A bill to amend the Solid Waste Disposal Act to insure protection of public health and environmental safety in the Environmental Protection Agency's regulations for the delisting of hazardous wastes, and to require the Environmental Protection Agency to establish a timetable for determining whether additional wastes are hazardous wastes which should be subject to the requirements of such Act.","Dodd, Christopher J. [Sen.-D-CT] (Introduced 12/08/1982)",Democratic,12/08/1982,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",12/08/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Administrative procedure","Congress and Congressmen","Congressional oversight","Environmental Protection Agency","Environmental Protection","Government Operations and Politics","Hazardous waste disposal","Hazardous wastes",Planning,Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Hazardous Waste Identification Improvement Act - Amends the Solid Waste Disposal Act to revise provisions relating to criteria for identification and listing of hazardous waste. <p>Directs the Administrator of the Environmental Protection Agency (EPA), when evaluating a petition to exclude a waste generated at a particular facility from being listed as a hazardous waste, to consider criteria other than those for which the waste was listed if the Administrator has a reasonable basis to believe that such additional criteria could cause such waste to be listed as a hazardous waste. Directs the Administrator to grant or deny such petition only after the petitioner and all interested parties have been given notice and opportunity for public hearing with respect to such additional criteria and to demonstrate whether such waste meets such criteria. <p>Directs the Administrator to develop, and submit to the Congress by July 1, 1983, a two-year plan for:  (1) revising or adding new characteristics for identifying hazardous waste; and (2) the listing of those hazardous wastes which are not so listed on the date of enactment of this Act, with a determination with respect to the listing of dioxin and certain organic and inorganic waste streams (described in a specified document) to be made prior to March 1, 1983; and (3) an evaluation of possible determinations as to the levels of certain hazardous constituents which may cause wastes to be hazardous per se.  Directs the Administrator to submit progress reports on such program on January 1, 1984, and January 1, 1985, in conjunction with the submittal of the proposed budget for EPA, to the appropriate congressional committees. <p>Provides that such amendments shall become effective on the date of enactment of this Act, and required regulations shall be promulgated within 180 days after such date.",,,,,,
"S. 3082",https://www.congress.gov/bill/97th-congress/senate-bill/3082,"97th Congress (1981-1982)","A bill to amend the Internal Revenue Code of 1954 to exempt from rules relating to foreign conventions all conventions, etc., held on cruise ships when cruises on such ships originate and terminate in United States ports.","Ford, Wendell H. [Sen.-D-KY] (Introduced 12/07/1982)",Democratic,12/07/1982,"Senate - Finance","Committee on Finance requested executive comment from OMB; Treasury Department.",12/09/1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Business and commerce",Conferences,"Income tax","Passenger ships","Ships and shipping","Tax deductions",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Internal Revenue Code to disallow the deduction of expenses incurred in attending a convention, seminar, or other meeting held on a cruise ship unless the point of origin and termination is located in the United States, its possessions or its territories.",,,,,,
"S. 3081",https://www.congress.gov/bill/97th-congress/senate-bill/3081,"97th Congress (1981-1982)","A bill to modify the judicial districts of West Virginia, and for other purposes.","Byrd, Robert C. [Sen.-D-WV] (Introduced 12/07/1982)",Democratic,12/07/1982,"House - Judiciary | Senate - Judiciary","Other Measure S.3105 Passed House in Lieu.",12/20/1982,"Randolph, Jennings [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Courts and Civil Procedure","District courts",Law,"West Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,S.3105,,,,,CRS,,,"01/14/1983 Became Public Law No: 97-471.",,,,"<p>Transfers Wood and Wirt Counties to the Southern Judicial District of West Virginia and Braxton, Pocahontas, and Webster Counties to the Northern Judicial District of West Virginia.",,,,,,
"S. 3080",https://www.congress.gov/bill/97th-congress/senate-bill/3080,"97th Congress (1981-1982)","A bill to require the Administrator of General Services to convey at no cost certain surplus real property for public park or public recreational use to State and local governments.","Pell, Claiborne [Sen.-D-RI] (Introduced 12/06/1982)",Democratic,12/06/1982,"Senate - Governmental Affairs","Read twice and referred to the Committee on Governmental Affairs.",12/06/1982,"Chafee, John H. [Sen.-R-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Federal-local relations","Federal-state relations","Government Operations and Politics","Intergovernmental relations","Local and Municipal Government","National policy",Parks,"Parks and Natural Areas","Public Contracts, Procurement, and Property","Public Lands and Real Property","Public Lands and Natural Resources","Real property","Recreation and Recreational Facilities","Recreation areas","State parks",States,"Surplus government property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Directs the Administrator of the General Services Administration to donate certain surplus real property to State and local governments for public park or public recreational use.",,,,,,
"S. 3077",https://www.congress.gov/bill/97th-congress/senate-bill/3077,"97th Congress (1981-1982)","A bill to establish the Harry S. Truman National Historic Site in the State of Missouri, and for other purposes.","Eagleton, Thomas F. [Sen.-D-MO] (Introduced 12/06/1982)",Democratic,12/06/1982,"Senate - Energy and Natural Resources","Passed Senate with an amendment by Voice Vote.",12/21/1982,"Danforth, John C. [Sen.-R-MO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Government Operations and Politics","Historic sites",Missouri,"Public Lands and Natural Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7366,,,,,CRS,Senate,,"12/08/1982 For Further Action See S.1661.",,,,"(Measure passed Senate, amended) <p>Authorizes the Secretary of the Interior to acquire certain real property in Missouri in order to establish the Harry S. Truman National Historic Site. Authorizes the Secretary to make certain parts of such site available for the use of Margaret Truman Daniel. <p>Authorizes appropriations.",,,,,,
"S. 3069",https://www.congress.gov/bill/97th-congress/senate-bill/3069,"97th Congress (1981-1982)","A bill to amend the Natural Gas Policy Act of 1978 to prohibit increases in the wellhead prices of natural gas, and for other purposes.","Eagleton, Thomas F. [Sen.-D-MO] (Introduced 12/02/1982)",Democratic,12/02/1982,"Senate - Energy and Natural Resources","Read twice and referred to the Committee on Energy and Natural Resources.",12/02/1982,"Danforth, John C. [Sen.-R-MO]","Riegle, Donald W., Jr. [Sen.-D-MI]","Sarbanes, Paul S. [Sen.-D-MD]","Metzenbaum, Howard M. [Sen.-D-OH]","Sasser, Jim [Sen.-D-TN]","Levin, Carl [Sen.-D-MI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"Economics and Public Finance",Energy,"Energy prices","Natural gas","Petroleum and petroleum products","Price regulation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Amends the Natural Gas Policy Act of 1978 to provide that the maximum lawful price applicable to the first sale of natural gas from December 2, 1982, through December 31, 1984, shall be the maximum lawful price applicable to such sale on August 31, 1982, under the Act.  Provides that in the case of any first sale of natural gas from a well the surface drilling of which began prior to December 2, 1982, and for which there was no applicable maximum lawful price for such sale on December 2, 1982, through December 31, 1984, shall be the contract price specified for deliveries of such natural gas on August 31, 1982. <p>Provides that the maximum lawful price applicable to the first sale of natural gas on August 31, 1982, shall be increased for any month beginning on or after January 1, 1985, at the rate specified for such gas. <p>Directs the Comptroller General to conduct a study concerning the profitability of natural gas production under the Act. <p>Extends for two years the expiration date of (1) price controls; and (2) standby authority.",,,,,,
"S. 3066",https://www.congress.gov/bill/97th-congress/senate-bill/3066,"97th Congress (1981-1982)","A bill with regard to Presidential certifications on conditions in El Salvador.","Glenn, John H., Jr. [Sen.-D-OH] (Introduced 12/02/1982)",Democratic,12/02/1982,"Senate - Foreign Relations","Placed on Senate Legislative Calendar under Regular Orders. Calendar No. 1019.",12/16/1982,"Dodd, Christopher J. [Sen.-D-CT]","Sarbanes, Paul S. [Sen.-D-MD]","Tsongas, Paul E. [Sen.-D-MA]","Bradley, Bill [Sen.-D-NJ]","Kennedy, Edward M. [Sen.-D-MA]","Leahy, Patrick J. [Sen.-D-VT]","Moynihan, Daniel Patrick [Sen.-D-NY]","Pell, Claiborne [Sen.-D-RI]","Zorinsky, Edward [Sen.-D-NE]","Dixon, Alan J. [Sen.-D-IL]","Exon, J. James [Sen.-D-NE]","Inouye, Daniel K. [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"American military assistance","Americans employed in foreign countries","Americans in foreign countries","El Salvador",Homicide,"International Affairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.7323,,,,,CRS,Senate,,"12/14/1982 Ordered to be Reported.",,,,"<p>Amends the International Security and Development Cooperation Act of 1981 to allow the President to make the second and succeeding certification, which are required before the President can continue giving aid to El Salvador, only if the certifications include a determination by the President that El Salvador: (1) has made good faith efforts since the last such certification to investigate and prosecute those responsible for the murders of six U.S. citizens; and (2) has taken all reasonable steps to investigate the disappearance of journalist John Sullivan.",,,,,,
"S. 3065",https://www.congress.gov/bill/97th-congress/senate-bill/3065,"97th Congress (1981-1982)","A bill to establish in the Department of State the position of Under Secretary of  State for Agricultural Affairs.","Pryor, David H. [Sen.-D-AR] (Introduced 12/02/1982)",Democratic,12/02/1982,"Senate - Foreign Relations","Read twice and referred to the Committee on Foreign Relations.",12/02/1982,"Andrews, Mark [Sen.-R-ND]","Bumpers, Dale [Sen.-D-AR]","Pressler, Larry [Sen.-R-SD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Agricultural policies","Department of State","Executive reorganization","Federal officials","Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Establishes in the Department of State the position of Under Secretary of State for Agricultural Affairs to deal with agricultural issues including U.S. policy toward farm exports.",,,,,,
"S. 3063",https://www.congress.gov/bill/97th-congress/senate-bill/3063,"97th Congress (1981-1982)","A bill to provide for continuation of health insurance for workers who lose such insurance by reason of unemployment.","Riegle, Donald W., Jr. [Sen.-D-MI] (Introduced 12/02/1982)",Democratic,12/02/1982,"Senate - Finance","Committee on Finance requested executive comment from OMB; Treasury Department; Health and Human Services Department.",12/10/1982,"Levin, Carl [Sen.-D-MI]","Metzenbaum, Howard M. [Sen.-D-OH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Business and commerce","Employee benefit plans",Health,"Health insurance","Income tax",Insurance,"Labor and Employment",Medicaid,"Social Welfare","Tax deductions",Taxation,Unemployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p>Health Insurance for Unemployed Workers Act of 1982 - Permits States to establish and regulate reinsurance pools providing three or more qualified pool health options for unemployed individuals.  Requires each State reinsurance pool to offer three or more health plan options to any unemployed individual and his family, at a monthly rate which is discounted from the average premium amount. <p>Authorizes the State insurance commissioner or other official having jurisdiction over group health plans to be responsible for establishing and overseeing the operation of the pool. <p>Requires the Secretary of Health and Human Services to certify whether a State reinsurance pool meets all the stipulated requirements. Allows for private reinsurance pools in States which do not establish a State reinsurance pool. Directs the Secretary to carry out the duties of the State insurance commissioner in such instances. Directs the Secretary to establish a Federal pool in States where there is no State or private reinsurance pool. <p>Waives participation in a pool by any group health plan provider which extends coverage under a group plan for covered employees after involuntary termination or layoff, at a level equal to or surpassing the minimum extended coverage required by a qualified pool health plan. <p>Amends the Internal Revenue Code to disqualify for income tax deductions an employer's premium payments to any group health plan that does not provide coverage according to this Act.  Requires qualifying group health plans to provide for the continuation of health insurance coverage following an employee's involuntary severance. <p>Makes qualified unemployed individuals in States without pool health plans eligible to enroll in the hospital insurance program and in the supplementary medical insurance program under title XVIII of the Social Security Act.  Directs the Secretary to establish expedited enrollment procedures.  Provides for conversion from such Social Security coverage to pool health plan coverage.",,,,,,
"S. 3061",https://www.congress.gov/bill/97th-congress/senate-bill/3061,"97th Congress (1981-1982)","A bill to repair and rehabilitate America's highways, roads, bridges, mass transit systems, sewers, and water supply systems; to put Americans back to work carrying out needed public works repairs; and to develop a long-term national public works investment plan.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 12/01/1982)",Democratic,12/01/1982,"Senate - Environment and Public Works","Read twice and referred to the Committee on Environment and Public Works.",12/01/1982,"Baucus, Max [Sen.-D-MT]","Matsunaga, Spark M. [Sen.-D-HI]","Melcher, John [Sen.-D-MT]","Riegle, Donald W., Jr. [Sen.-D-MI]","Tsongas, Paul E. [Sen.-D-MA]","Bradley, Bill [Sen.-D-NJ]","Byrd, Robert C. [Sen.-D-WV]","Cranston, Alan [Sen.-D-CA]","Dixon, Alan J. [Sen.-D-IL]","Eagleton, Thomas F. [Sen.-D-MO]","Hart, Gary W. [Sen.-D-CO]","Inouye, Daniel K. [Sen.-D-HI]","Jackson, Henry M. [Sen.-D-WA]","Kennedy, Edward M. [Sen.-D-MA]","Levin, Carl [Sen.-D-MI]","Randolph, Jennings [Sen.-D-WV]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,"Advisory bodies",Authorization,Bridges,"Economics and Public Finance","Environmental Protection","Federal advisory bodies","Interstate highway system","Public works","Roads and highways","Sewage disposal","Transportation and Public Works","Water and Water Resources Development","Water supply",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,"<p><b>Title I:  Public Improvements Repair Act</b> - Public Improvements Repair Act of 1982 - Authorizes appropriations out of the Highway Trust Fund for FY 1983 for projects to repair, rehabilitate, or replace existing interstate highways, primary, secondary, or urban roads, bridges, mass transit systems, and sewer and water supply lines. <p><b>Title II:  Rebuilding of America Act</b> - Rebuilding of America Act of 1982 - Directs the National Commission on the Rebuilding of America, established by this Act, to conduct an inventory of existing major public improvements (highways, roads, bridges, and water and sewer systems) by region, State, and major metropolitan areas of the United States. <p>Requires the Commission to develop a National Public Improvements Plan listing in priority order maintenance, repair, rehabilitation, or replacement of public improvements which will be necessary in each region, to sustain regionally balanced national economic development. Requires the Commission, as a part of the plan, to suggest specific revisions in Federal laws, regulations, and policies that may be necessary to reverse the pattern of disinvestment in national public improvements. <p>Sets forth procedures for the submission of such plan to Congress and for review and implementation of the plan. <p>Establishes the National Commission on the Rebuilding of America to assess the condition of the national public works infrastructure. <p>Authorizes appropriations to carry out this Act. <p>Directs the Comptroller General to submit to specified congressional committees model unified budgets for the year of enactment of this Act and the preceding fiscal year that distinguish Federal civilian capital investment outlays from other Federal outlays.  Requires the Comptroller General to include with such budgets a report on their usefulness.",,,,,,
