"Downloaded on",03/05/2025,"13:57:07 EST"
"Search URL",https://www.congress.gov/advanced-search?raw=%5B%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22congress%22%2C%22operator%22%3A%22multi%22%2C%22value%22%3A%5B%22118%22%2C%22117%22%2C%22116%22%2C%22112%22%2C%22111%22%5D%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22chamber%22%2C%22operator%22%3A%22is%22%2C%22value%22%3A%22Senate%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22committee%22%2C%22operator%22%3A%22containsAll%22%2C%22value%22%3A%22Finance%22%7D%7D%5D%7D%2C%7B%22op%22%3A%22AND%22%2C%22conditions%22%3A%5B%7B%22op%22%3A%22AND%22%2C%22inputs%22%3A%7B%22source%22%3A%22legislation%22%2C%22field%22%3A%22sponsor-party%22%2C%22operator%22%3A%22is%22%2C%22value%22%3A%22Democratic%22%7D%7D%5D%7D%5D&q=%7B%22type%22%3A%22bills%22%2C%22congress%22%3A%22112%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3651",https://www.congress.gov/bill/112th-congress/senate-bill/3651,"112th Congress (2011-2012)","A bill to amend title II of the Social Security Act and the Internal Revenue Code of 1986 to make improvements in the old-age, survivors, and disability insurance program, to provide for cash relief for years for which annual COLAs do not take effect under certain cash benefit programs, and to provide for Social Security benefit protection.","Begich, Mark [Sen.-D-AK] (Introduced 12/04/2012)",Democratic,12/04/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",12/04/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Census and government statistics","Inflation and prices",Self-employed,"Social security and elderly assistance","Social Welfare","Wages and earnings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,H.R.456,H.R.539,S.1876,,,,,,,,,,CRS,,"02/04/2011 Referred to the Subcommittee on Social Security.","03/15/2011 Referred to the Subcommittee on Disability Assistance and Memorial Affairs.","11/16/2011 Read twice and referred to the Committee on Finance.",,,,,,,,,," <p>Protecting and Preserving Social Security Act - Directs the Bureau of Labor Statistics (BLS) of the Department of Labor to prepare and publish for each calendar month a Consumer Price Index for Elderly Consumers (CPIEC) that indicates changes over time in consumption expenditures typical for individuals in the United States age 62 or older.</p> <p>Amends title II (Old Age, Survivors and Disability Insurance) (OASDI) of the Social Security Act to make the CPIEC the applicable Consumer Price Index (CPI) for computation of cost-of-lving increases in OASDI benefits for such individuals. </p> <p>Amends the Internal Revenue Code to prescribe special rules for the determination of wages and self-employment income above the contribution and benefit base after 2012.</p> <p>Amends SSA title II to include surplus average indexed monthly earnings (AIME) in the determination of primary OASDI amounts.</p>",,,,,,
"S. 3650",https://www.congress.gov/bill/112th-congress/senate-bill/3650,"112th Congress (2011-2012)","A bill to amend the Internal Revenue Code of 1986 to facilitate water leasing and water transfers to promote conservation and efficiency.","Udall, Mark [Sen.-D-CO] (Introduced 11/29/2012)",Democratic,11/29/2012,"Senate - Finance","Read twice and referred to the Committee on Finance. (text of measure as introduced: CR S7219-7220)",11/29/2012,"Crapo, Mike [Sen.-R-ID]","Barrasso, John [Sen.-R-WY]","Bennet, Michael F. [Sen.-D-CO]","Enzi, Michael B. [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"Business investment and capital","Corporate finance and management",Farmland,"Financial services and investments","Land transfers",Securities,"Tax-exempt organizations",Taxation,"Water use and supply",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6462,,,,,,,,,,,,CRS,,"09/20/2012 Referred to the House Committee on Ways and Means.",,,,,,,,,,,," <p>Ditch and Irrigation Company Tax Reform Act - Amends the Internal Revenue Code to permit tax-exempt mutual ditch or irrigation companies to earn income from dispositions of certain real property and stock interests without affecting their tax-exempt status. Requires that such income be used to pay the operational and maintenance expenses of such a company.</p>",,,,,,
"S. 3648",https://www.congress.gov/bill/112th-congress/senate-bill/3648,"112th Congress (2011-2012)","A bill to exclude from gross income for purposes of the Internal Revenue Code of 1986 any payments made from the Aurora Victim Relief Fund to the victims of the tragic event at the Century 16 Cinema in Aurora, Colorado, on July 20, 2012.","Bennet, Michael F. [Sen.-D-CO] (Introduced 11/29/2012)",Democratic,11/29/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",11/29/2012,"Udall, Mark [Sen.-D-CO]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Colorado,"Crime victims","Income tax exclusion","Social work, volunteer service, charitable organizations",Taxation,"Violent crime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6615,,,,,,,,,,,,CRS,,"11/29/2012 Referred to the House Committee on Ways and Means.",,,,,,,,,,,," <p>Excludes from gross income, for income tax purposes, any amount received from the Aurora Victim Relief Fund established by the tax-exempt Community First Foundation, if such amount is paid on account of the mass shooting at the Century 16 Cinema in Aurora, Colorado, on July 20, 2012. </p>",,,,,,
"S. 3629",https://www.congress.gov/bill/112th-congress/senate-bill/3629,"112th Congress (2011-2012)","A bill to amend the Alaska Natural Gas Pipeline Act to promote the availability of affordable, clean-burning natural gas to North American markets, and for other purposes.","Begich, Mark [Sen.-D-AK] (Introduced 11/14/2012)",Democratic,11/14/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",11/14/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Alaska,"Business investment and capital",Energy,"Energy storage, supplies, demand","Executive agency funding and structure","Government information and archives","Income tax credits","Income tax deductions","Oil and gas",Pipelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Alaska Natural Gas Transportation Act of 2012 - Amends the Alaska Natural Gas Pipeline Act to redefine the term &quot;Alaska natural gas transportation project&quot; to include in the natural gas pipeline system carrying Alaska natural gas to a market any pipeline segment that the Federal Energy Regulatory Commission (FERC) finds could feasibly be incorporated into, and serve as an integrated segment of, that system regardless of whether the segment: (1) is proposed and constructed before the construction of the system, or (2) initially transports Alaska natural gas solely for delivery to consumers within Alaska.</p> <p>Confers upon the Federal Coordinator for Alaska Natural Gas Transportation Projects responsibility for providing federal agencies with comprehensive information about Alaska natural gas transportation projects, including industry developments, market factors, technology, and regulatory issues that could affect such projects.</p> <p>Amends the Internal Revenue Code, with respect to the accelerated cost recovery system, to redefine the term &quot;Alaska natural gas pipeline&quot; as the natural gas pipeline system: (1) located in the area of Alaska lying north of 64 degrees North latitude, and (2) carrying Alaska natural gas from the area of the United States lying north of 64 degrees North latitude to a market.</p> <p>Removes from qualified enhanced oil recovery costs, with respect to the qualified enhanced oil recovery tax credit, any amount paid or incurred during the taxable year to construct a gas treatment plant which: (1) is located in the area of the United States lying north of 64 degrees North latitude, (2) prepares Alaska natural gas for transportation through a pipeline with a capacity of at least 2 trillion Btu of natural gas per day, and (3) produces carbon dioxide which is injected into hydrocarbon-bearing geological formations. </p> <p><BR> </p>",,,,,,
"S. 3616",https://www.congress.gov/bill/112th-congress/senate-bill/3616,"112th Congress (2011-2012)","A bill to amend the Internal Revenue Code of 1986 to make permanent the expansion of tax benefits for adoption enacted in 2001 and to permanently reinstate the expansion of tax benefits for adoption enacted in 2010, and for other purposes.","Landrieu, Mary L. [Sen.-D-LA] (Introduced 09/21/2012)",Democratic,09/21/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",09/21/2012,"Hutchison, Kay Bailey [Sen.-R-TX]","Cardin, Benjamin L. [Sen.-D-MD]","Blunt, Roy [Sen.-R-MO]","Mikulski, Barbara A. [Sen.-D-MD]","Wyden, Ron [Sen.-D-OR]","Hoeven, John [Sen.-R-ND]","Merkley, Jeff [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"Adoption and foster care","Disability and paralysis","Income tax credits","Inflation and prices","Tax administration and collection, taxpayers",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.4373,,,,,,,,,,,,CRS,,"04/17/2012 Referred to the House Committee on Ways and Means.",,,,,,,,,,,," <p>Making Adoption Affordable Act of 2012 - Makes permanent provisions of the Economic Growth and Tax Relief Reconciliation Act of 2001 allowing an increased tax credit for adoption expenses and an increased exclusion from an employee's gross income for amounts paid by an employer for adoption expenses.</p> <p>Amends the Internal Revenue Code to reinstate and make permanent: (1) the increase in the tax credit for adoption expenses and the increased exclusion from an employee's gross income for amounts paid by an employer for adoption expenses that were enacted by the Patient Protection and Affordable Care Act, (2) the annual inflation adjustments for such increased amounts, and (3) the refundability of the tax credit for adoption expenses. </p> <p>Directs the Secretary of the Treasury to take certain actions concerning: (1) Internal Revenue Service (IRS) communications efforts about the adoption tax credit, and (2) documentation of adoption expenses required before initiation of a tax audit.</p>",,,,,,
"S. 3610",https://www.congress.gov/bill/112th-congress/senate-bill/3610,"112th Congress (2011-2012)","A bill to amend the Internal Revenue Code of 1986 to deny the inclusion of any antidumping or countervailing duties in the determination of the basis of any energy tax credit property.","Wyden, Ron [Sen.-D-OR] (Introduced 09/21/2012)",Democratic,09/21/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",09/21/2012,"Merkley, Jeff [Sen.-D-OR]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Alternative and renewable resources","Business investment and capital","Competitiveness, trade promotion, trade deficits","Energy efficiency and conservation","Income tax credits",Tariffs,Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Investment Tax Credit Integrity Act - Amends the Internal Revenue Code, with respect to the energy tax credit, to exclude from the basis of energy property for purposes of determining the amount of such credit, the amount of any antidumping or countervailing duty imposed on such property under the Tariff Act of 1930. </p>",,,,,,
"S. 3604",https://www.congress.gov/bill/112th-congress/senate-bill/3604,"112th Congress (2011-2012)","A bill to amend title XVIII of the Social Security Act to provide for the implementation of prescriber education programs and to establish requirements relating to the administration of antipsychotics to residents of skilled nursing facilities and nursing facilities under the Medicare and Medicaid programs, and for other purposes.","Kohl, Herb [Sen.-D-WI] (Introduced 09/20/2012)",Democratic,09/20/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",09/20/2012,"Grassley, Chuck [Sen.-R-IA]","Blumenthal, Richard [Sen.-D-CT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Aging,Appropriations,"Congressional oversight","Drug safety, medical device, and laboratory regulation","Drug therapy","Fraud offenses and financial crimes","Government information and archives","Government studies and investigations","Government trust funds",Health,"Health care coverage and access","Health care quality","Hospital care","Long-term, rehabilitative, and terminal care",Medicaid,Medicare,"Mental health","Neurological disorders",Nursing,"Prescription drugs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Improving Dementia Care Treatment for Older Adults Act of 2012 - Amends title XVIII (Medicare) of the Social Security Act (SSA) to direct the Secretary of Health and Human Services (HHS), acting through the Centers for Medicare and Medicaid Services, to establish and implement prescriber education programs to promote high quality evidence-based treatment through the development and dissemination of objective, educational, and informational materials to physicians and other prescribing practitioners, including such a program developed by the Agency for Healthcare Research and Quality. </p> <p>Amends SSA titles XVIII and XIX (Medicaid) with respect to the review and reporting of antipsychotics prescribed to skilled nursing facility (SNF) and nursing facility residents with dementia. </p> <p>Directs the Secretary to develop a standardized protocol for such facilities to obtain informed consent from an older adult with dementia before prescribing an antipsychotic to him or her for a use not approved by the Food and Drug Administration (FDA).</p> <p>Directs the Comptroller General to study state laws and regulations concerning informed consent with respect to the administration of a psychoactive medication with regard to the effectiveness of such laws and practices in changing the frequency of prescribing of such medications to older adults with dementia.</p> <p>Directs the Secretary to include a measure of the utilization of antipsychotics for each such facility for inclusion on the Nursing Home Compare Website as part of the quality measures or health inspection measures, or both such measures, under the Five-Star Quality Rating System.</p> <p> Directs the Comptroller General to study the impact of the standardized protocol for obtaining informed consent under the Medicare and Medicaid programs.</p> <p>Directs the Secretary to enter into an agreement with the Institute of Medicine of the National Academies to study appropriate prescribing of antipsychotics for hospital inpatients and whether documentation of antipsychotic use in patients with dementia is provided during transitions of care from hospitals to other care settings.</p>",,,,,,
"S. 3595",https://www.congress.gov/bill/112th-congress/senate-bill/3595,"112th Congress (2011-2012)","A bill to amend the Internal Revenue Code of 1986 to provide an exception from the passive loss rules for investments in high technology research small business pass-thru entities.","Menendez, Robert [Sen.-D-NJ] (Introduced 09/20/2012)",Democratic,09/20/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",09/20/2012,"Snowe, Olympia J. [Sen.-R-ME]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Advanced technology and technological innovations","Business investment and capital","Income tax credits","Income tax deductions","Research and development","Small business","Tax administration and collection, taxpayers",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.6559,,,,,,,,,,,,CRS,,"09/25/2012 Referred to the House Committee on Ways and Means.",,,,,,,,,,,," <p>Amends the Internal Revenue Code to exempt from passive loss rules any activity of a taxpayer carried on by a high technology research small business pass-thru entity. Defines &quot;high technology research small business pass-thru entity&quot; as any domestic pass-thru entity that: (1) spends a specified percentage of its income on research, (2) is a small business with 250 or fewer employees, and (3) does not have aggregate gross receipts in excess of $150 million. </p>",,,,,,
"S. 3594",https://www.congress.gov/bill/112th-congress/senate-bill/3594,"112th Congress (2011-2012)","A bill to amend the Internal Revenue Code of 1986 to increase the alternative tax liability limitation for small property and casualty insurance companies.","Harkin, Tom [Sen.-D-IA] (Introduced 09/20/2012)",Democratic,09/20/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",09/20/2012,"Grassley, Chuck [Sen.-R-IA]","Rockefeller, John D., IV [Sen.-D-WV]","Klobuchar, Amy [Sen.-D-MN]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Insurance industry and regulation","Life, casualty, property insurance","Small business","Tax administration and collection, taxpayers",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.2198,,,,,,,,,,,,CRS,,"06/15/2011 Referred to the House Committee on Ways and Means.",,,,,,,,,,,," <p>Amends the Internal Revenue Code to expand the eligibility of certain small insurance companies (other than life insurance companies) for the alternative corporate income tax by increasing the premium limitation used to determine such eligibility to $2.025 million (from $1.2 million), with an annual inflation adjustment after 2012.</p>",,,,,,
"S. 3586",https://www.congress.gov/bill/112th-congress/senate-bill/3586,"112th Congress (2011-2012)","A bill to provide reimbursement under the Medicaid program to individuals and entities that provide voluntary non-emergency medical transportation to Medicaid beneficiaries for expenses related to no-load travel.","Franken, Al [Sen.-D-MN] (Introduced 09/20/2012)",Democratic,09/20/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",09/20/2012,"Leahy, Patrick J. [Sen.-D-VT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Administrative law and regulatory procedures","Department of Health and Human Services",Health,"Health care coverage and access",Medicaid,"Social work, volunteer service, charitable organizations","Transportation costs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Recruiting Individuals to Drive Our Elders Act of 2012 or RIDE Act of 2012 - Directs the Secretary of Health and Human Services (HHS) to publish an interim final rule to revise certain Medicaid transportation regulations to allow a state plan under title XIX (Medicaid) of the Social Security Act to provide, at state option, reimbursement for costs attributable to providing no-load volunteer travel services to Medicaid-eligible individuals who require transportation to receive non-emergency medical treatment.</p>",,,,,,
"S. 3581",https://www.congress.gov/bill/112th-congress/senate-bill/3581,"112th Congress (2011-2012)","A bill to amend the Internal Revenue Code of 1986 to modify the credit for carbon dioxide sequestration.","Conrad, Kent [Sen.-D-ND] (Introduced 09/20/2012)",Democratic,09/20/2012,"Senate - Finance","Read twice and referred to the Committee on Finance.",09/20/2012,"Rockefeller, John D., IV [Sen.-D-WV]","Enzi, Michael B. [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Administrative law and regulatory procedures","Air quality","Climate change and greenhouse gases","Department of the Treasury","Income tax credits",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,," <p>Amends the Internal Revenue Code, with respect to the tax credit for carbon dioxide sequestration, to: (1) establish a national limitation for such credit based upon metric tons of qualified carbon dioxide (defined as carbon dioxide captured from an industrial source that would otherwise be released into the atmosphere as industrial emission of greenhouse gas and that is measured at the source of capture and verified at the point of disposal or injection); (2) direct the Secretary of the Treasury to establish processes and procedures for allocating the national limitation and for certifying projects for which an allocation has been made; (3) impose a 10-year limitation period for such credit; (4) identify the primary taxpayer eligible to claim such credit as the taxpayer who captures the qualified carbon dioxide and disposes, through contract or otherwise, of the qualified carbon dioxide in a specified manner; and (5) provide for the transferability of such credit. </p>",,,,,,
"S. 3568",https://www.congress.gov/bill/112th-congress/senate-bill/3568,"112th Congress (2011-2012)","Citrus, Wool, and Cotton Trust Fund Act of 2012","Baucus, Max [Sen.-D-MT] (Introduced 09/19/2012)",Democratic,09/19/2012,"Senate - Finance","By Senator Baucus from Committee on Finance filed written report. Report No. 112-227.",09/20/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Advisory bodies","Agricultural research","Agricultural trade","Animal and plant health",Canada,"Competitiveness, trade promotion, trade deficits","Congressional oversight","Corporate finance and management","Customs enforcement","Foreign Trade and International Finance","Forests, forestry, trees","Fruit and vegetables","Government trust funds","Income tax rates",Manufacturing,"Pest management","Research administration and funding","Research and development",Tariffs,"Tax administration and collection, taxpayers","Trade agreements and negotiations","User charges and fees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,H.R.6265,S.1295,,,,,,,,,,,CRS,,"08/06/2012 Referred to the Subcommittee on Trade.","06/29/2011 Read twice and referred to the Committee on Finance.",,,,,,,,,,," <p><b>(This measure has not been amended since it was introduced. The summary has been expanded because action occurred on the measure.)</b></p> <p>Citrus, Wool, and Cotton Trust Fund Act of 2012 - <b>Title I: Citrus Disease Research and Development Trust Fund</b> - Citrus Disease Research and Development Trust Fund Act of 2012 - (Sec. 103) Amends the Trade Act of 1974 to establish the Citrus Disease Research and Development Trust Fund, consisting of revenues from duties paid on imported citrus or citrus products, to support scientific research, technical assistance, and development activities to combat both domestic and invasive citrus diseases and pests harming the United States.</p> <p>Makes Fund amounts available to the Secretary of Agriculture to develop a coordinated program of research and product development relating to: (1) scientific research of both domestic and invasive diseases and pests afflicting the citrus industry; and (2) support for the dissemination and commercialization of relevant information, techniques, and technologies discovered through Fund research or other research projects intended to solve problems caused by citrus production diseases and invasive pests.</p> <p>Requires the President to notify certain congressional committees before entering into a trade agreement that could result in a decrease in the amount of: (1) duties paid on imported citrus or citrus products, and (2) funds transferred into the Fund.</p> <p> (Sec. 104) Establishes the Citrus Disease Research and Development Trust Fund Advisory Board.</p> <p><b>Title II: Cotton and Wool Trust Funds - </b>(Sec. 201) Amends the Harmonized Tariff Schedule of the United States to: (1) modify the article description of certain cotton shirting fabrics, and (2) extend the temporary duty suspensions on such fabrics.</p> <p>(Sec. 202) Amends the Tax Relief and Health Care Act of 2006 to extend through December 31, 2015, the requirement that the Secretary of the Treasury transfer from the Treasury to the Pima Cotton Trust Fund amounts equal to the duties received in the Treasury from certain imported woven fabrics of cotton since January 1, 2004 (currently, January 1, 1994). </p> <p>Repeals the limitation that pima cotton be grown in the United States from the formula for determination of annual payments to a nationally recognized association established for the promotion of pima cotton as well as to the yarn spinners of pima cotton. Limits the latter payments to yarn spinners of pima cotton that produce ring spun cotton yarns in the United States.</p> <p> Requires annual affidavits from shirting manufacturers and from yarn spinners. <p>Amends the Miscellaneous Trade and Technical Corrections Act of 2004 with respect to insufficiencies in the Wool Apparel Manufacturers Trust Fund for U.S. Bureau of Customs and Border Protection payments to manufacturers of certain wool products or for grants by the Secretary of Commerce to manufacturers of worsted wool fabrics. Requires the Secretary of the Treasury, in such instances, to transfer to the Trust Fund amounts equivalent to duties received on &quot;Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted&quot; in order to make such payments and award such grants. Requires such transfers to cover such payments and grants for 2010-2012. <p><b>Title III: Miscellaneous - </b>(Sec. 301) Directs the U.S. Trade Representative (USTR) to continue to make it a priority to address Canada's market-distorting subsidies and practices in the lumber market. <p>(Sec. 302) Increases by 0.25% the required estimated income tax payments otherwise due in the third quarter of 2017 for corporations with assets of at least $1 billion. Requires the next required installment to be appropriately reduced to reflect the amount of this increase. <p>(Sec. 303) Amends the Consolidated Omnibus Budget Reconciliation Act of 1985 to extend certain customs user fees for the processing of merchandise entered into the United States from October 23, 2021, to November 12, 2021, and other specified customs users fees from October 30, 2021, to November 26, 2021.",,,,,,
