"Downloaded on",03/04/2025,"18:22:53 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%2294%22%2C%22chamber%22%3A%22Senate%22%2C%22type%22%3A%22bills%22%2C%22party%22%3A%5B%22Republican%22%2C%22Independent%22%5D%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3871",https://www.congress.gov/bill/94th-congress/senate-bill/3871,"94th Congress (1975-1976)","A bill to improve the judicial machinery in customs courts by amending the statutory provisions relating to judicial actions and administrative proceedings in customs matters, and for other purposes.","Hruska, Roman L. [Sen.-R-NE] (Introduced 09/29/1976)",Republican,09/29/1976,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",09/29/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Foreign Trade and International Finance",Imports,Injunctions,Judges,Jurisdiction,Law,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>United States Customs Court Act - Declares that the United States Customs Court, in all actions properly pending before it, shall possess all the powers of a district court of the United States. <p>Repeals the requirement that not more than five judges of such court be appointed from the same political party. <p>Confers exclusive jurisdiction on the Customs Court over petitions for immediate relief brought by any person who is authorized by statute to contest a final order decision of the Secretary of the Treasury or of the United States Customs Service and who is likely to sustain immediate and irreparable injury as a result of a preliminary order or decision relating to an actual or attempted importation prior to such final order or decision.  (Amends 28 U.S.C. 251, 1582)",,,,,,
"S. 3868",https://www.congress.gov/bill/94th-congress/senate-bill/3868,"94th Congress (1975-1976)","A bill to amend title VIII of the Act commonly called the Civil Rights Act of 1968 with respect to the awarding of attorney's fees and the authority of the Development to initiate a civil action to enforce the provisions of such title.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 09/29/1976)",Republican,09/29/1976,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",09/29/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Civil Rights and Liberties","Civil procedure","Civil Rights and Liberties, Minority Issues","Department of Health, Education, and Welfare","Government Operations and Politics","Housing and Community Development",Law,"Legal fees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.12344,,,,CRS,,"03/04/1976 Referred to House Committee on the Judiciary.",,,,"<p>Permits the Secretary of Housing and Urban Development to initiate a civil action to enforce Federal prohibitions against discriminatory housing practices. <p>Allows Federal courts to award private plaintiffs bringing suit to enforce such prohibitions reasonable attorney fees whether or not such individuals are finally able to bear the cost.",,,,,,
"S. 3867",https://www.congress.gov/bill/94th-congress/senate-bill/3867,"94th Congress (1975-1976)","A bill to reinstate the provisions of the Sugar Act of 1948 beginning with calendar year 1977.","Curtis, Carl T. [Sen.-R-NE] (Introduced 09/29/1976)",Republican,09/29/1976,"Senate - Finance","Referred to Senate Committee on Finance.",09/29/1976,"Hansen, Clifford P. [Sen.-R-WY]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Agricultural taxes","Agriculture and Food","Excise tax",Sugar,"Sugar and sugar trade","Sugar law and legislation",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Sugar Act Extension - Amends the Sugar Act of 1948 to reinstate the powers vested in the Secretary of Agriculture under such Act on January 1, 1977.  Reinstates the powers of the Secretary to set price objectives and quotas for sugar on October 1, 1976, and terminates such authority on March 31 of the year of termination of the manufacturer's excise tax on sugar which is reinstated under this Act. <p>Amends the Internal Revenue Code to reinstate the excise tax on the manufacture or use of sugar after December 31, 1976.  Terminates such tax on June 30 of the year following the effective date of any law which limits conditional payments under the Sugar Act of 1948 or payments with respect to unsold sugar or sugar products held by a manufacturer or in customs custody.",,,,,,
"S. 3866",https://www.congress.gov/bill/94th-congress/senate-bill/3866,"94th Congress (1975-1976)","A bill to establish a program to improve U.S. commercial fisheries.","Weicker, Lowell P., Jr. [Sen.-R-CT] (Introduced 09/29/1976)",Republican,09/29/1976,"Senate - Commerce","Referred to Senate Committee on Commerce.",09/29/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Aquaculture,"Federal advisory bodies","Fish culture","Fish inspection","Fish processing ships",Fisheries,"Fishery management","Fishery products",Fishes,Fishing,"Fishing boats","Government Operations and Politics","Public Lands and Natural Resources",Seafood,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Commercial Fisheries Assistance Act - <b>Title I:  Commercial Fisheries Assistance Fund</b> - Authorizes the Secretary of Commerce to make loans for the construction, rehabilitation, purchase or operation of fishing facilities and fishing vessels.  Authorizes the Secretary to make grants and loans to commercial fishermen to alleviate long-term ""forced economic distress.""  Authorizes the Secretary to make loans for commercial fishing experimentation equipment and for the purchase, construction, or rehabilitation of commercial fishing vessels under five tons. <p>Requires the Secretary of Commerce to establish a commercial fishing training program.  Requires the Secretary to submit to the President and the Congress a report on means to survey, enhance, and create markets for fish and fish products. <p>Establishes an Office of Commercial Fisheries Assistance in the National Oceanic and Atmospheric Administration to implement this Act under the direction of the Secretary of Commerce. <p>Requires the Secretary to submit to the President a plan to establish a national health and sanitary program for the control of seafood handling, processing, marketing, and sales. <p>Requires the Secretary of Commerce to determine eligibility for loans or grants under this Act upon: (1) the financial need of the applicant; (2) the availability of conventional loans, (3) the present and projected needs of a commercial fishery for facilities, vessels, and equipment; (4) enhancement of commercial fisheries; (5) security for such loans; and (6) the ability of the applicant to operate such vessel or facility. <p>Restricts such loans or grants to citizens or nationals of the United States.  Sets forth the criteria by which the citizenship and nationality of a corporation shall be determined for purposes of loan or grant eligibility. <p>Establishes a Commercial Fisheries Assistance Fund to carry out this Act.  Authorizes the appropriation of $200,000,000 to such Fund for initial capital for loans and grants.  Authorizes the appropriation to such Fund of $1,000,000 for the first three fiscal years after passage of this Act and $1,500,000 for each fiscal year thereafter.  Authorizes the appropriations to the Fund:  (1) of $250,000 to carry out the sanitary seafood program; and (2) of $2,000,000 for each fiscal year to carry out the commercial fishing training program. <p>Repeals the authorization of the Secretary of the Interior, under the Fish and Wildlife Act of 1956, to make loans for purchasing, constructing, equipping, maintaining, repairing, or operating commercial fishing vessels or gear.  Transfers the Fishing Vessel Obligation Guarantee program and the Capital Construction Fund program from the National Marine Fisheries Service to the Office of Commercial Fisheries Assistance. <p><b>Title II:  Fisheries Market Promotion Research Orders</b> - Requires the Secretary of Commerce to establish a Fisheries Board:  (1) to research markets for seafood; (2) to research means to increase fishing yields; and (3) to collect and regulate landing fees, among other duties.  Requires the Secretary to authorize the Board to assess landing fees at fisheries, such fees to be refunded upon demand by any person assessed who does not support fishery research.  Imposes a civil penalty of not more than $1,000 on any person who fails to collect or remit any assessment of such fee, or who violates any order issued by the Secretary of Commerce under this Act.  Requires the Secretary to issue orders:  (1) to establish landing fees; (2) to establish plans to promote the sale of fish products; (3) to establish commercial fishing research projects; and (4) to disburse funds for such purposes.  Sets forth eligibility requirements for fisheries organizations in order to request such order or to participate in nominations to the Fisheries Board.  Authorizes the appropriation of $1,000,000 for the establishment and initial operation of the Board. <p><b>Title III:  Fisheries Cooperative Service Assistance</b> - Directs the Secretary of Agriculture to establish a pilot program assisting fishing interests in the planning of fisheries cooperative organizations.  Requires the Secretary of Agriculture to authorize the Farmer Cooperative Service to work with the Office of Commercial Fisheries Assistance to develop fisheries cooperative services for four years. Authorizes the Secretary of Agriculture to provide:  (1) assistance to the cooperatives in strengthening the economic position of fishermen and related occupations; (2) consultation with fisheries cooperative leaders and governmental agencies to improve organization, leadership, and operations; (3) help to fishermen in obtaining lower cost supplies and higher prices for their products; (4) encouragement of international fisheries cooperative programs; and (5) research planning for the establishment of new fisheries cooperatives.  Directs the Secretary of Agriculture, with the Secretary of Commerce to submit to the President and the Congress: (1) an annual report of activities under this title; and (2) a final report, at the end of four years, with recommendations for the establishment of a Fisheries Cooperative Service administered by the Secretary of Commerce.  Authorizes the appropriation of $1,000,000 to the Secretary of Agriculture to carry out a four-year pilot fisheries cooperative service program.",,,,,,
"S. 3862",https://www.congress.gov/bill/94th-congress/senate-bill/3862,"94th Congress (1975-1976)","A bill for the relief of Maria Lucia Pontes.","Brock, Bill [Sen.-R-TN] (Introduced 09/29/1976)",Republican,09/29/1976,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",09/29/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Maria Lucia Pontes.",,,,,,
"S. 3861",https://www.congress.gov/bill/94th-congress/senate-bill/3861,"94th Congress (1975-1976)","A bill for the relief of Mary Ian Connell.","Brock, Bill [Sen.-R-TN] (Introduced 09/29/1976)",Republican,09/29/1976,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",09/29/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Mary Ian Connell.",,,,,,
"S. 3859",https://www.congress.gov/bill/94th-congress/senate-bill/3859,"94th Congress (1975-1976)","A bill to amend the corporate name of AMVETS (American Veterans of World War II), and for other purposes.","Thurmond, Strom [Sen.-R-SC] (Introduced 09/29/1976)",Republican,09/29/1976,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",09/29/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security",Corporations,"Federal incorporation","Veterans' organizations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Amends the Federal charter of AMVETS (American Veterans of World War II) to change the corporate name of such organization to AMVETS (American Veterans of World War II, Korea, and Vietnam).",,,,,,
"S. 3849",https://www.congress.gov/bill/94th-congress/senate-bill/3849,"94th Congress (1975-1976)","A bill to reorganize and consolidate a number of Federal education programs.","Domenici, Pete V. [Sen.-R-NM] (Introduced 09/28/1976)",Republican,09/28/1976,"Senate - Labor and Public Welfare","Referred to Senate Committee on Labor and Public Welfare.",09/28/1976,"Bellmon, Henry L. [Sen.-R-OK]","Nunn, Sam [Sen.-D-GA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Adult education",Disabled,Education,"Elementary and secondary education","Elementary education","Federal aid to education","Federal-state relations","Native Americans","Secondary education","Student aid","Vocational and technical education",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.15728,,,,CRS,,"09/28/1976 Referred to House Committee on Education and Labor.",,,,"<p>Elementary and Secondary Education Optional Consolidation and Reorganization Act - Declares it the purpose of this Act to afford States the option of consolidating and reorganizing specified programs of assistance to State and local educational agencies for elementary, secondary, vocational, and adult education into three broad categories: (1) special educational needs programs; (2) vocational education programs; and (3) special emphasis projects. <p><b>Title I:  Special Needs Program</b> - Requires each State which desires to consolidate Federal educational aid programs under this Act to include the following in its comprehensive consolidation plan: (1) a program designed to address the special educational needs of educationally deprived children in local education agencies having high concentrations of children from low- income families, of neglected and delinquent children in State-operated programs, and of children in adult correctional institutions; (2) a program designed to provide comprehensive health, educational, nutritional, social, and other similar services primarily for children from low-income families; (3) a program designed to address the special educational needs of children of migratory agricultural workers and of migratory fishermen; (4) a program designed to provide and establish standards for specified educational programs for handicapped children; (5) a program of instruction designed for children of limited English-speaking ability; and (6) a program of bilingual vocational training. <p>Requires every agency operating educational programs for the handicapped which is to receive assistance under this Act to establish and maintain procedures to assure safeguards to handicapped children and their parents with respect to the provision of appropriate free public education. <p>Sets forth guidelines for the distribution of the funds received by the States for each program required under this title. <p><b>Title II:  Vocational, Adult and Continuing Education and Employment Training</b> - Requires each State which does not have a separate State agency for vocational education and desires to participate in the consolidation program authorized by this Act to include specified programs in its comprehensive consolidation plan, including: (1) a program designed to improve existing and develop new programs of vocational education; (2) a program to provide part-time employment for youths who need the earnings from such employment to continue their vocational training on a full-time basis; (3) a program to provide vocational education to persons who are handicapped and persons who have limited English-speaking ability; and (4) a program to meet the needs for adult basic education and to plan and operate community education projects. <p>Authorizes each State to include in its comprehensive plan a program to provide the education program portion of the manpower services program under the Comprehensive Employment and Training Act. <p>Sets forth guidelines to the distribution of the funds received by States for programs under this title. <p><b>Title III:  Special Emphasis Projects</b> - Requires each State desiring to participate in the consolidation program authorized by this Act to include in its comprehensive plan a program to provide services and make grants to local educational agencies for the acquisition of printed materials and instructional equipment and for the development of specified guidance, innovation, curricula improvement, health services, and support project programs. <p>Sets forth guidelines for the distribution of funds received by States under this title. <p><b>Title IV:  General Provisions</b> - Directs the Commissioner of Education to reserve from amounts appropriated for fiscal years 1978-82 to carry out programs which may be consolidated under this Act such sums as are necessary to make allotments to States which choose to consolidate such plans for programs under their respective comprehensive plans.  Sets forth formulae to determine the amount of such allotments. <p>Extends planning grants to States desiring to participate in the consolidation program authorized by this Act to assist such States in the preparation of consolidated plans.  Details administrative prerequisites for receiving such grants. <p>Directs the Commissioner to make payments for administration of State consolidation programs. <p>Requires each State to establish procedures in developing its comprehensive State plan which are designed to assure specified administrative safeguards and flexibility.  Lists additional requirements relative to such plans. <p>Directs the Commissioner to make supplemental grants to States participating in the consolidation program the proceeds of which are to flow through to local educational agencies or be used in programs administered by the State which provide direct services to students. <p>Requires (1) each State participating in the consolidation program to adopt an evaluation model by which to assess the effectiveness of such consolidation and (2) each local education agency to prepare and submit annual evaluation reports in accordance with the State model. <p>Directs the Commissioner to conduct a monitoring program in each State participating in the consolidation program and to carry out a program of making grants to such States for the purpose of interstate cooperation. <p>Requires the consolidation program authorized by this Act to be administered by a separate identifiable unit to be established by the Commissioner in the Office of Education. <p>Directs the Commissioner to reduce or stop payments to States which fail to comply with specified requirements of this Act.  Permits States which are not satisfied with the Commissioner's actions to have such action reviewed in a United States court of appeals. <p>Permits funds paid to a State under this Act to be made available for construction of facilities for which funds would have been available under any program consolidated in this Act. <p>Subjects funds made available under this Act to specified provisions prohibiting discrimination in the administration of federally-assisted programs. <p>Requires that certain children enrolled in private nonprofit or in Indian tribal elementary or secondary schools be given an opportunity to participate on an equitable basis in activities assisted under this Act.",,,,,,
"S. 3844",https://www.congress.gov/bill/94th-congress/senate-bill/3844,"94th Congress (1975-1976)","A bill to name a certain Federal building in Grand Rapids, Mich., the ""Arthur H.  Vandenberg Building.""","Griffin, Robert P. [Sen.-R-MI] (Introduced 09/22/1976)",Republican,09/22/1976,,"Measure passed Senate.",09/22/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Federal office buildings","Government Operations and Politics",Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.13247,,,,CRS,,"09/16/1976 Reported to House from the Committee on Public Works and Transportation, H. Rept. 94-1589.",,,,"<p>Designates the Federal building located at 110 Michigan Avenue, Northwest, in Grand Rapids, Michigan, as the ""Arthur H. Vandenberg Building.""",,,,,,
"S. 3843",https://www.congress.gov/bill/94th-congress/senate-bill/3843,"94th Congress (1975-1976)","A bill to name the Visitors' Center at the Sleeping Bear Dunes National Lakeshore the ""Phillip A. Hart Visitors' Center.""","Griffin, Robert P. [Sen.-R-MI] (Introduced 09/22/1976)",Republican,09/22/1976,,"Public law 94-459.",10/08/1976,"Byrd, Robert C. [Sen.-D-WV]","Jackson, Henry M. [Sen.-D-WA]","Scott, Hugh [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Federal office buildings","Government Operations and Politics",Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Designates the Visitors' Center at Sleeping Bear Dune National Lakeshore, Michigan, as the ""Philip A. Hart Visitors' Center.""",,,,,,
"S. 3842",https://www.congress.gov/bill/94th-congress/senate-bill/3842,"94th Congress (1975-1976)","A bill to amend title 38 of the United States Code relating to condominium home loans.","Mathias, Charles McC., Jr. [Sen.-R-MD] (Introduced 09/21/1976)",Republican,09/21/1976,"Senate - Veterans' Affairs","Referred to Senate Committee on Veterans' Affairs.",09/21/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security","Condominium (Housing)","Housing and Community Development","Soldiers' homes","Veterans' loans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Permits the Veterans' Administration to guarantee home mortgages for the purchase of homes which have been converted from a rental to a condominium form of ownership.",,,,,,
"S. 3841",https://www.congress.gov/bill/94th-congress/senate-bill/3841,"94th Congress (1975-1976)","A bill for the relief of Alaska Methodist University in Anchorage.","Stevens, Ted [Sen.-R-AK] (Introduced 09/21/1976)",Republican,09/21/1976,"Senate - Banking, Housing, and Urban Affairs","Referred to Senate Committee on Banking, Housing and Urban Affairs.",09/21/1976,"Gravel, Mike [Sen.-D-AK]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Alaska Methodist University in Anchorage.",,,,,,
"S. 3840",https://www.congress.gov/bill/94th-congress/senate-bill/3840,"94th Congress (1975-1976)","A bill for the relief of Wing Fai Yan.","Taft, Robert, Jr. [Sen.-R-OH] (Introduced 09/21/1976)",Republican,09/21/1976,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",09/21/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Wing Fai Yan.",,,,,,
"S. 3839",https://www.congress.gov/bill/94th-congress/senate-bill/3839,"94th Congress (1975-1976)","A bill to permit any surviving spouse of a person interred in a post cemetery or the post section of a national cemetery to be interred in such cemetery.","Thurmond, Strom [Sen.-R-SC] (Introduced 09/21/1976)",Republican,09/21/1976,"Senate - Veterans' Affairs","Referred to Senate Committee on Veterans' Affairs.",09/21/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security","Cemeteries and funerals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Provides that the surviving spouse of any person buried in a post cemetery, or the post section of a national cemetery, may be buried in such person's gravesite or an adjoining gravesite.",,,,,,
"S. 3835",https://www.congress.gov/bill/94th-congress/senate-bill/3835,"94th Congress (1975-1976)","A bill to authorize the Secretary of Agriculture to make grants to States for urban forestry.","Javits, Jacob K. [Sen.-R-NY] (Introduced 09/20/1976)",Republican,09/20/1976,"Senate - Agriculture and Forestry","Referred to Senate Committee on Agriculture and Forestry.",09/20/1976,"Pell, Claiborne [Sen.-D-RI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Agriculture and Food",Botany,"Forests and forest products","Forests and forestry","Housing and Community Development","Urban affairs","Urban areas","Urban beautification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Urban Trees Act - Authorizes the Secretary of Agriculture to make grants, on a matching basis, with urban areas to the States, Puerto Rico, the Virgin Islands and Guam in order to provide financial assistance to such urban areas for arboriculture programs.  Defines ""arboriculture"" as the planting, growing, maintenance, and protection of trees and shrubs. <p>Authorizes appropriations of up to $10,000,000 for fiscal year 1977 to carry out such grant program. <p>Requires that grants under this Act be made in accordance with an urban arboriculture plan for the selection, planting, and maintenance of trees agreed upon in advance by the Secretary and the State forester or other appropriate official. <p>Authorizes the Secretary to provide technical assistance to urban areas for arboriculture programs under this Act.",,,,,,
"S. 3828",https://www.congress.gov/bill/94th-congress/senate-bill/3828,"94th Congress (1975-1976)","A bill for the relief of Marilyn and Elpidio Termulo.","Beall, J. Glenn, Jr. [Sen.-R-MD] (Introduced 09/17/1976)",Republican,09/17/1976,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",09/17/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Marilyn and Elpidio Termulo.",,,,,,
"S. 3827",https://www.congress.gov/bill/94th-congress/senate-bill/3827,"94th Congress (1975-1976)","A bill for the relief of Maria Vasquez.","Beall, J. Glenn, Jr. [Sen.-R-MD] (Introduced 09/17/1976)",Republican,09/17/1976,"Senate - Judiciary","Referred to Senate Committee on the Judiciary.",09/17/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"Provides for the relief of Maria Vasquez.",,,,,,
"S. 3822",https://www.congress.gov/bill/94th-congress/senate-bill/3822,"94th Congress (1975-1976)","A bill to amend the Internal Revenue Code of 1954 to extend the duration of certain provisions relating to members of the armed forces of the United States and civilian employees who are missing in action or hospitalized as a result of wounds, disease, or injury incurred in the Vietnam conflict.","Brock, Bill [Sen.-R-TN] (Introduced 09/16/1976)",Republican,09/16/1976,"Senate - Finance","Referred to Senate Committee on Finance.",09/16/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security","Income tax","Military pay","Military personnel","Tax administration","Tax exclusion","Tax rates","Tax returns",Taxation,"War casualties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.15557,,,,CRS,,"09/29/1976 Reported to House from the Committee on Ways and Means with amendment, H. Rept. 94-1729.",,,,"<p>Amends the Internal Revenue Code to extend until January 2, 1979, specified tax provisions for veterans wounded in the Vietnam conflict and spouses of persons missing in action in the Vietnam combat zone. <p>Provides that after such date:  (1) persons classified as missing in action in the Vietnam conflict will be considered dead for purposes of computing the terms of surviving spouses; (2) pay earned while hospitalized for wounds received in the Vietnam combat zone will be included in gross income; (3) income tax will be assessed for the taxable years in which veterans die as a result of service in the Vietnam conflict; (4) spouses of persons classified as missing in action may not elect to file joint tax returns; and (5) time requirements concerning filing, paying, claiming, assessing, collecting and commencing actions regarding tax liability will resume running against spouses of persons missing in the Vietnam combat zone.",,,,,,
"S. 3821",https://www.congress.gov/bill/94th-congress/senate-bill/3821,"94th Congress (1975-1976)","A bill to amend the Civil Defense Act of 1950 to clarify the policy and intent of Congress under such act with respect to preparedness at the State and local levels for disasters other than disasters caused by an enemy attack.","Thurmond, Strom [Sen.-R-SC] (Introduced 09/16/1976)",Republican,09/16/1976,"Senate - Armed Services","Referred to Senate Committee on Armed Services.",09/16/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Civil defense","Disaster relief",Disasters,Education,"Emergency Management",Grants-in-aid,"Intergovernmental fiscal relations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,"<p>Declares that it is the policy and intent of Congress to take into account the needs of the States and their political subdivisions with respect to preparedness for disasters other than those caused by enemy attack when providing Federal assistance under the Civil Defense Act of 1950. <p>Authorizes the Defense Civil Preparedness Agency to use for training and education programs during fiscal year 1977, an amount not to exceed $2,000,000 from the funds appropriated to such Agency for research, shelter survey, and marking by Treasury, Postal Service and General Government Appropriation Act of 1977.",,,,,,
