"Downloaded on",03/05/2025,"13:27:26 EST"
"Search URL",https://www.congress.gov/search?pageSort=documentNumber%3Adesc&q=%7B%22type%22%3A%22bills%22%2C%22party%22%3A%22Democratic%22%2C%22chamber%22%3A%22Senate%22%2C%22congress%22%3A%2298%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,Sponsor,"Party of Sponsor","Date of Introduction",Committees,"Latest Action","Latest Action Date",Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,"Number of Cosponsors",Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,"Number of Related Bills","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill","Related Bill Relationships Identified by","Related Bill Relationships Identified by","Related Bill Latest Action","Related Bill Latest Action","Latest Summary","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amendment Text (Latest)","Amends Amendment"
"S. 3054",https://www.congress.gov/bill/98th-congress/senate-bill/3054,"98th Congress (1983-1984)","A bill to amend section 2236 of title 10, United States Code, to increase the maximum contribution that may be made by the Federal government toward the cost of construction of an armory by any State.","Zorinsky, Edward [Sen.-D-NE] (Introduced 10/03/1984)",Democratic,10/03/1984,"Senate - Armed Services","Read twice and referred to the Committee on Armed Services.",10/03/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Armed Forces and National Security","Construction costs","Military construction operations","State finance",States,Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Increases from 75 to 90 percent of construction costs the maximum contribution the Federal Government may make toward the construction of a State's armory.",,,,,,
"S. 3048",https://www.congress.gov/bill/98th-congress/senate-bill/3048,"98th Congress (1983-1984)","A bill for the relief of Ms. Kikuko Satake.","Inouye, Daniel K. [Sen.-D-HI] (Introduced 10/03/1984)",Democratic,10/03/1984,"Senate - Judiciary","Referred to Subcommittee on Immigration and Refugee Policy.",10/10/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 3041",https://www.congress.gov/bill/98th-congress/senate-bill/3041,"98th Congress (1983-1984)","A bill for the relief of Kam Hon Wong and his wife Po Kwan Wong.","Matsunaga, Spark M. [Sen.-D-HI] (Introduced 10/02/1984)",Democratic,10/02/1984,"Senate - Judiciary","Referred to Subcommittee on Immigration and Refugee Policy.",10/09/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Declares two named individuals to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 3040",https://www.congress.gov/bill/98th-congress/senate-bill/3040,"98th Congress (1983-1984)","A bill for the relief of O'Ferrall Pauly, publisher of the Mid-Coast Advertiser of Wharton, Texas.","Bentsen, Lloyd M. [Sen.-D-TX] (Introduced 10/02/1984)",Democratic,10/02/1984,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",10/02/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Claims,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Relieves a named publisher of all liability to the United States for payment of a specified sum representing a postage discrepancy due to erroneous information provided by a postmaster.",,,,,,
"S. 3028",https://www.congress.gov/bill/98th-congress/senate-bill/3028,"98th Congress (1983-1984)","A bill to establish Federal matching grants to encourage State trust funds or appropriations for child abuse and neglect prevention activities.","Dodd, Christopher J. [Sen.-D-CT] (Introduced 09/26/1984)",Democratic,09/26/1984,"Senate - Labor and Human Resources","Committee on Labor and Human Resources requested executive comment from Health and Human Services Department, OMB, GAO.",10/09/1984,"Cranston, Alan [Sen.-D-CA]","Hawkins, Paula [Sen.-R-FL]","Specter, Arlen [Sen.-R-PA]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Child abuse","Children and youth","Crime prevention",Families,"Federal aid to child welfare","Government trust funds","State finance",States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Child Abuse and Neglect Prevention Federal Challenge Grants Act - Authorizes the Secretary of Health and Human Services to make challenge grants to any State in the fiscal year following the fiscal year in which the State has collected funds for child abuse and neglect prevention activities through a trust fund or other funding mechanism. <p>Authorizes appropriations to carry out this Act for FY 1985 through 1989. <p>Sets forth State eligibility provisions.  Sets forth specified activities for which such State funding must be available. <p>Limits the amount of any such challenge grant to a State in any fiscal year to the lesser of either:  (1) 25 percent of  the total amount made available by such State for such activities in the previous fiscal year; or (2) an amount equal to 50 cents time the number of children residing in such State. <p>Sets forth application requirements for such challenge grants.  Requires the trust fund advisory board, or in States without a trust mechanism, the State liaison agency to the National Center on Child Abuse and Neglect to be responsible for administering and awarding Federal grants to eligible recipients carrying out specified activities under this Act. Prohibits assistance under this Act from being used as a source for non-Federal funds for the matching requirements of any other provision of Federal law. <p>Requires such State recordkeeping and reporting as the Secretary deems essential to carry out this Act. <p>Sets forth provisions for withholding and auditing of such grants. <p>Directs the Secretary to prepare and submit to Congress at the end of each year a compilation and analysis of any reports submitted by eligible States under this Act.",,,,,,
"S. 3023",https://www.congress.gov/bill/98th-congress/senate-bill/3023,"98th Congress (1983-1984)","A bill for the relief of Mary Patricia McLaughlin.","Eagleton, Thomas F. [Sen.-D-MO] (Introduced 09/26/1984)",Democratic,09/26/1984,"Senate - Judiciary","Read twice and referred to the Committee on Judiciary.",09/26/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 3022",https://www.congress.gov/bill/98th-congress/senate-bill/3022,"98th Congress (1983-1984)","A bill to establish a coordinated National Nutrition Monitoring and Related Research Program, and a comprehensive plan for the assessment and maintenance of the nutritional and dietary status of the United States population and the nutritional quality of the United States food supply, with provision for the conduct of scientific research and development in support of such program and plan.","Bingaman, Jeff [Sen.-D-NM] (Introduced 09/25/1984)",Democratic,09/25/1984,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture.",09/25/1984,"Matsunaga, Spark M. [Sen.-D-HI]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Advisory bodies","Congressional oversight","Data banks","Executive reorganization","Federal advisory bodies","Food and Food Industry","Government Operations and Politics","Government paperwork","Government records, documents, and information",Health,"Information services",Nutrition,"Nutrition policy","Nutrition surveys",Research,"Research and development",Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>National Nutrition Monitoring and Related Research Act of 1984 - <b>Title I:  Nutrition Monitoring and Related Research</b> - Establishes: (1) a ten-year National Nutrition Monitoring and Related Research Program; and (2) a Directorate, with the Secretaries of Defense, Agriculture, and Health and Human Services as joint chairpersons, to implement such program. <p>Sets forth the Directorate's functions, including: (1) establishing National Science Foundation-administered matching grants to accelerate the development of uniform and cost-effective standards to monitor nutritional and health status; (2) establishing Centers for Disease Control-administered grants to assist States and local governments to monitor and enhance nutrition services; and (3) submitting an annual report to the President and the Congress by January 15 of each year. <p>Requires the Directorate to prepare a National Nutrition Monitoring and Related Research Plan which shall:  (1) assess and report on U.S. nutritional and dietary trends; (2) sponsor or conduct research; (3) develop and maintain dietary and nutritional data resources; (4) coordinate Federal activities and assist similar State and local activities, including scientific and technical assistance; (5) maintain and coordinate present and future nutrition and dietary surveys, including the development of uniform survey standards; and (6) encourage private sector and academic program participation. <p>Requires a 60-day public comment period before such plan is submitted in final form to the President and the Congress. <p>Provides for scientific research and development in support of such program and plan. <p>Authorizes:  (1) FY 1985 appropriations to be available until expended to establish the Directorate and the National Nutrition Monitoring Advisory Council (as provided for in title II of this Act); and (2) ten-year appropriations for the National Science Foundation and the Centers for Disease Control grant programs. <p><b>Title II:  National Nutrition Monitoring Advisory Council</b> - Establishes a 15-member Advisory Council to:  (1) evaluate such program and plan; (2) provide scientific and technical advice; and (3) submit an annual report to the Directorate.",,,,,,
"S. 3019",https://www.congress.gov/bill/98th-congress/senate-bill/3019,"98th Congress (1983-1984)","A bill to require that the positions of Director and Deputy Director of Central Intelligence be filled by career intelligence officers.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 09/25/1984)",Democratic,09/25/1984,"Senate - Intelligence (Select)","Read twice and referred to the Committee on Intelligence.",09/25/1984,"Goldwater, Barry [Sen.-R-AZ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Armed Forces and National Security","Central Intelligence Agency","Government officials","Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Amends the National Security Act of 1947 to require that the Director and Deputy Director of Central Intelligence be appointed from among career civilian or military intelligence officers.",,,,,,
"S. 3016",https://www.congress.gov/bill/98th-congress/senate-bill/3016,"98th Congress (1983-1984)","A bill for the relief of Benefrido C. Santiago.","Byrd, Robert C. [Sen.-D-WV] (Introduced 09/24/1984)",Democratic,09/24/1984,"Senate - Judiciary","Referred to Subcommittee on Immigration and Refugee Policy.",09/26/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Immigration,"Private Legislation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Declares a named individual to have been lawfully admitted to the United States for permanent residence under the Immigration and Nationality Act.",,,,,,
"S. 3015",https://www.congress.gov/bill/98th-congress/senate-bill/3015,"98th Congress (1983-1984)","A bill to amend the Federal Reserve Act to increase the number of class C directors of Federal Reserve Banks.","Sasser, Jim [Sen.-D-TN] (Introduced 09/24/1984)",Democratic,09/24/1984,"Senate - Banking, Housing, and Urban Affairs","Read twice and referred to the Committee on Banking.",09/24/1984,"Melcher, John [Sen.-D-MT]","Baucus, Max [Sen.-D-MT]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Federal Reserve System","Finance and Financial Sector","Government Operations and Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H.R.5278,,,,,,,,,CRS,Senate,"05/07/1984 Passed House by Voice Vote.",,"<p>Federal Reserve Bank Directors Act of 1984 - Amends the Federal Reserve Act to increase from nine to 11 the number of members of the board of directors of a Federal Reserve bank. <p>Increases from three to five the number of class C members selected by the Board of Governors of the Federal Reserve System for membership on the board of a Federal Reserve bank. <p>Provides that not more than two directors of class C shall be officers or directors, employees, or stockholders of any depository institution which is not a member of the Federal Reserve System. <p>Prohibits the chairman or deputy chairman of the board of a Federal Reserve bank from being an officer or director, employee, or stockholder of any depository institution. <p>Provides that the class C director with the longest tenure on the board who is not an officer or director, employee, or stockholder of any depository institution shall preside at meetings in the absence of the chairman and deputy chairman. <p>Requires the designation of the two new members appointed pursuant to this Act at the first meeting of the full board of directors of each Federal Reserve bank after the date of enactment of this Act. Sets the respective terms of office of such new members.",,,,,,
"S. 3014",https://www.congress.gov/bill/98th-congress/senate-bill/3014,"98th Congress (1983-1984)","A bill to amend the Comprehensive Environmental Response, Compensation, and Liability Act of 1980.","Moynihan, Daniel Patrick [Sen.-D-NY] (Introduced 09/21/1984)",Democratic,09/21/1984,"Senate - Finance","Committee on Finance requested executive comment from OMB, Treasury Department, Interior Department, Environmental Protection Agency.",09/26/1984,"Bentsen, Lloyd M. [Sen.-D-TX]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Congressional oversight","Environmental Protection","Excise tax","Government paperwork","Government records, documents, and information","Government trust funds","Hazardous waste disposal","Hazardous wastes","Liability for toxic substances pollution damages","Pollution taxes","Refuse and refuse disposal",Taxation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,"<p>Hazardous Substance Response Act of 1984 - Amends the Comprehensive Environmental Response, Compensation, and Liability Act of 1980 (Superfund) (CERCLA) and the Internal Revenue Code to add provisions for the imposition of an environmental excise tax on the disposal or long-term storage of hazardous waste. <p>Imposes such tax on:  (1) the receipt of hazardous waste for disposal at a qualified hazardous waste disposal facility; or (2) long-term storage of a hazardous waste in a qualified waste storage facility. <p>Sets the amount of such tax at:  (1) $45 for each ton of hazardous waste which is disposed of by landfill, in waste piles, or by surface impoundment; (2) $25 for each ton of hazardous waste  which is disposed of by ocean dumping or land treatment; (3) $5 for each ton of hazardous waste which is disposed of by underground injection; and (4) $45 for each ton of hazardous waste which is placed in long-term storage. <p>Provides for an alternative computation of such tax.  Allows the owner or operator of a qualified hazardous waste disposal or long-term storage facility to elect to pay a tax of $50 per ton on the amount of waste deposited for disposal or storage, reduced by the weight of water which the owner or operator can establish is in such waste, in lieu of the taxes which would otherwise be paid under this Act. <p>Provides for an exclusion from such tax for certain wastes. <p>Provides such exclusion for wastes which are, as of the enactment date of this Act, exempt from regulation as hazardous waste under specified provisions of the Solid Waste Disposal Act. Directs the Administrator of the Environmental Protection Agency, in the event that any such waste is determined to pose a potential danger to human health and the environment and disposal regulations are promulgated, to transmit to Congress recommendations for imposing such tax, if any, on such waste.  Provides that such tax shall be imposed on such waste only when authorized by Act of Congress. <p>Provides such exclusion for wastes which are not, as of the enactment date of this Act, identified or listed under specified provisions of the Solid Waste Disposal Act.  Provides that such tax shall be imposed on such waste only when authorized by an Act of Congress. <p>Provides such exclusion for wastes in a surface impoundment which:  (1) contains treated waste water during the secondary or tertiary phase of a biological treatment facility subject to a permit issued under specified provisions of the Clean Water Act (or which holds such treated waste after treatment and prior to discharge); and (2) is in compliance with generally applicable water monitoring requirements for facilities with permits under hazardous waste management provisions of the Solid Waste Disposal Act. <p>Provides such exclusion for any waste:  (1) the disposal or long-term storage of which is carried out by any person in the course of carrying out any removal or remedial action under CERCLA if such disposal is carried out in accordance with a plan approved by the Administrator or the State; (2) removed from any facility listed on the National Priorities List; or (3) removed from a facility for which notification has been provided to the Administrator pursuant to specified CERCLA provisions. <p>Sets forth provisions for liability for such tax. Imposes such tax on:  (1) the owner or operator of the qualified hazardous waste disposal or storage facility at which the hazardous waste is disposed of or stored; or (2) the person disposing of the hazardous waste, in the case of hazardous waste disposed of or stored for a long term at other than a qualified hazardous waste disposal or storage facility but required by regulation to be disposed of or stored at a qualified facility. <p>Provides for a credit for prior tax.  Requires that a credit be allowed in the computation of any tax due under this Act on the disposal of a hazardous waste for any tax previously paid under this Act by the disposer on the long-term storage of such hazardous waste.  Provides that, in the event that a person who has paid a tax under this Act on the long-term storage of a hazardous waste causes such hazardous waste to be delivered to and received by another person who is the owner or operator of a qualified hazardous waste disposal facility, then the person who paid the tax on the long-term storage shall be allowed a credit for such tax in the computation of any tax subsequently due on the long-term storage or disposal of such waste.  Establishes a presumption that the last of fungible waste placed in a qualified hazardous waste storage facility shall be the first to be removed from such facility, for purposes of determining any such credit allowances for such fungible waste. <p>Provides for fractional taxing of a fraction of a ton. <p>Provides that such tax shall not apply to the hazardous waste which is received for disposal or placed into long-term storage prior to the effective date of this Act. <p>Terminates such tax after September 30, 1990. <p>Sets forth definitions for purposes of this Act. <p>Sets forth requirements for recordkeeping, statements, and tax returns under this Act. Requires every person who disposes of or stores hazardous wastes for one year or more subject to taxation under this Act to keep records, render such statements, make such returns, and comply with rules and regulations as the Secretary of the Treasury may prescribe to ensure the proper assessment, payment, and collection of the taxes imposed by this Act.  Directs the Secretary to consult with the Administrator to ensure that such records, statements, and return shall be consistent, to the extent possible, with the reports required to be submitted to the Administrator under the Solid Waste Disposal Act.  Authorizes the Secretary to require any person who generates, transports, disposes of, or stores hazardous wastes for one year or more and who is required to maintain records under the Solid Waste Disposal Act, the Marine Protection, Research and Sanctuaries Act, or the Safe Drinking Water Act, to submit copies of such reports or make such reports available to the Secretary as required. <p>Provides that the amendments made by this Act, unless otherwise provided, shall take effect January 1, 1986. <p>Directs the Secretary, in consultation with the Administrator, to report to Congress by January 1, 1987, on the amount of revenues being collected in accordance with this Act. Requires such report to include the Secretary's recommendations, if any, for changes in such tax in order to:  (1) raise an amount of revenue equivalent to the anticipated amount of revenue from the tax originally imposed under this Act; (2) ensure that the tax is discouraging the disposal of waste in an environmentally unsound manner; and (3) ensure that the tax is being collected with maximum administrative feasibility. <p>Revises CERCLA provisions for transfers to the Hazardous Substance Response Trust Fund (Superfund) to include amounts received in the Treasury under Internal Revenue Code provisions, as added by this Act, for the tax on disposal or long-term storage of hazardous waste.",,,,,,
